,r,rdf
0,0.03,0.0
1,0.09,0.0
2,0.15,0.0
3,0.21,0.0
4,0.27,0.0
5,0.32999999999999996,0.0
6,0.39,0.0
7,0.44999999999999996,0.0
8,0.51,0.0
9,0.5700000000000001,0.0
10,0.6299999999999999,0.0
11,0.69,0.0
12,0.75,0.0
13,0.81,0.0
14,0.8699999999999999,0.0
15,0.9299999999999999,0.0
16,0.99,0.0
17,1.05,0.0
18,1.1099999999999999,0.0
19,1.17,0.0
20,1.23,0.0
21,1.29,0.0
22,1.3499999999999999,0.0
23,1.41,0.0
24,1.47,0.0
25,1.53,0.0
26,1.5899999999999999,0.0
27,1.65,0.0
28,1.71,0.0
29,1.77,0.0
30,1.8299999999999998,0.0
31,1.89,0.0
32,1.95,0.0
33,2.01,0.0
34,2.0700000000000003,0.0
35,2.13,0.0
36,2.19,0.0010578307352920556
37,2.25,0.018993481649759014
38,2.3099999999999996,0.16045661223856048
39,2.37,0.5793753174181572
40,2.4299999999999997,1.3032917481662216
41,2.49,2.21817401072907
42,2.55,3.241250568802241
43,2.61,4.088094237256357
44,2.67,4.700169275071007
45,2.7299999999999995,4.868866562675608
46,2.79,4.53703493653874
47,2.8499999999999996,3.752059148783684
48,2.91,2.7460132672302766
49,2.9699999999999998,1.8366050702539167
50,3.0300000000000002,1.1375432793117226
51,3.09,0.6744917725126092
52,3.15,0.3995155523992307
53,3.21,0.24781264883285806
54,3.2699999999999996,0.17275828530155726
55,3.33,0.13214260674713876
56,3.3899999999999997,0.12037959866524564
57,3.45,0.1234146522532074
58,3.51,0.14919627381163544
59,3.57,0.2136813437381617
60,3.63,0.32745096946248275
61,3.6899999999999995,0.5360798161546781
62,3.75,0.8548593538861086
63,3.8099999999999996,1.2555941310921956
64,3.87,1.5603925200561084
65,3.9299999999999997,1.5769035349016216
66,3.9899999999999998,1.2905851514470468
67,4.05,0.8809694177404743
68,4.109999999999999,0.5877304659635952
69,4.17,0.48637939348355347
70,4.23,0.5426780687756781
71,4.29,0.6237523726251598
72,4.35,0.7085666985863304
73,4.41,0.7909013639571953
74,4.47,0.8681061151463749
75,4.529999999999999,0.9254290419867915
76,4.59,0.9705212894753066
77,4.65,0.9875280329753624
78,4.71,0.991618324660608
79,4.77,0.9733384137872874
80,4.83,0.9639713873232207
81,4.89,0.9517774399003949
82,4.949999999999999,0.9551616977233681
83,5.01,0.9660914853822447
84,5.07,0.9912029545767783
85,5.13,1.0226581889264346
86,5.1899999999999995,1.047047478241274
87,5.25,1.0560008126212466
88,5.31,1.060591260679387
89,5.369999999999999,1.0445054252419799
90,5.43,1.011364767193071
91,5.49,0.9644092922365408
92,5.55,0.9159347213401283
93,5.609999999999999,0.8662007469125194
94,5.67,0.8256378825900861
95,5.73,0.7929771655687055
96,5.789999999999999,0.7765123950290315
97,5.85,0.7735217833474486
98,5.91,0.7843610231489666
99,5.97,0.8077276399098359
