,r,gofr
0,0.03,8.194094659538608
1,0.09,8.184106009093444
2,0.15,8.17411735864828
3,0.21,8.164128708203116
4,0.27,8.154140057757951
5,0.32999999999999996,8.144151407312787
6,0.39,8.134162756867623
7,0.44999999999999996,8.124174106422458
8,0.51,8.114185455977294
9,0.5700000000000001,8.10419680553213
10,0.6299999999999999,8.094208155086966
11,0.69,8.084219504641801
12,0.75,8.074230854196637
13,0.81,8.064242203751473
14,0.8699999999999999,8.054253553306308
15,0.9299999999999999,8.044264902861144
16,0.99,8.03427625241598
17,1.05,8.024287601970816
18,1.1099999999999999,8.014298951525651
19,1.17,8.004310301080487
20,1.23,7.994321650635323
21,1.29,7.9843330001901585
22,1.3499999999999999,7.974344349744994
23,1.41,7.96435569929983
24,1.47,7.954367048854666
25,1.53,7.944378398409501
26,1.5899999999999999,7.934389747964337
27,1.65,7.924401097519173
28,1.71,7.9144124470740085
29,1.77,7.904423796628844
30,1.8299999999999998,7.89443514618368
31,1.89,7.884446495738516
32,1.95,7.874457845293351
33,2.01,7.864469194848187
34,2.0700000000000003,7.854480544403023
35,2.13,7.844501151320933
36,2.19,7.835615208967319
37,2.25,7.867337662259314
38,2.3099999999999996,8.203512518336492
39,2.37,8.654136560951242
40,2.4299999999999997,8.343655883420922
41,2.49,7.950279193622425
42,2.55,7.9121051896347705
43,2.61,7.987826880973599
44,2.67,8.07722948718157
45,2.7299999999999995,8.135026364735191
46,2.79,8.140497304836954
47,2.8499999999999996,8.082202190180134
48,2.91,7.982003360224587
49,2.9699999999999998,7.877424140839197
50,3.0300000000000002,7.790127098645493
51,3.09,7.734521488510963
52,3.15,7.70014097203251
53,3.21,7.678987331858109
54,3.2699999999999996,7.664521330740392
55,3.33,7.652509727828459
56,3.3899999999999997,7.641669354687427
57,3.45,7.631126382532288
58,3.51,7.621397289750621
59,3.57,7.614689634134881
60,3.63,7.625861748109759
61,3.6899999999999995,7.703127798922602
62,3.75,7.923115570460585
63,3.8099999999999996,8.2677846873738
64,3.87,8.506462957534048
65,3.9299999999999997,8.411448212483126
66,3.9899999999999998,8.074869450377374
67,4.05,7.7782958624711105
68,4.109999999999999,7.649744079238757
69,4.17,7.677679399215505
70,4.23,7.8684947532930485
71,4.29,8.242598562692343
72,4.35,8.831661901467234
73,4.41,9.543716750832152
74,4.47,10.228026826634924
75,4.529999999999999,10.720029811123661
76,4.59,10.874995594639417
77,4.65,10.783967079686793
78,4.71,10.628531423875215
79,4.77,10.359918904773266
80,4.83,9.812940229926392
81,4.89,9.160974670968262
82,4.949999999999999,8.489082698584319
83,5.01,7.997184929457897
84,5.07,7.700609493022907
85,5.13,7.570767233781457
86,5.1899999999999995,7.532972204910121
87,5.25,7.564198068687927
88,5.31,7.634438854536784
89,5.369999999999999,7.729508712556218
90,5.43,7.804945977035926
91,5.49,7.6613659497189355
92,5.55,7.4636578414819486
93,5.609999999999999,7.398201838546338
94,5.67,7.342741808069419
95,5.73,7.317199669848337
96,5.789999999999999,7.350929378879419
97,5.85,7.474329074076284
98,5.91,7.660037606604713
99,5.97,7.7663589583346635
