,r,gofr
0,1.36803,-0.4082556153755036
1,1.60804,-0.47271839796132264
2,1.85612,-0.5043100690495543
3,2.04823,-0.4835221402399997
4,2.19258,-0.28321440292287275
5,2.20086,-0.09802921994412016
6,2.20917,0.11807678579090666
7,2.28319,1.5356122740910143
8,2.39071,4.195507337367307
9,2.45252,2.6544874614017027
10,2.4667,1.2854742412405382
11,2.48909,0.06652286752614583
12,2.50443,-0.43504576324662425
13,2.5042,-0.6134698107529921
14,2.52813,-0.6756352247879116
15,2.56812,-0.6977613379132499
16,2.62407,-0.7480267260914247
17,2.72006,-0.7875054844317829
18,2.88806,-0.8361444561399582
19,3.0081,-0.8307031016173325
20,3.11214,-0.8178480855330803
21,3.2402,-0.7937724146641025
22,3.32036,-0.6507279800945017
23,3.37649,-0.5263746059540131
24,3.4247,-0.3203345750603645
25,3.48901,0.015537510321986159
26,3.55339,0.42733016863982487
27,3.60975,0.8360656314625698
28,3.67407,1.2109866626174923
29,3.72222,1.3926519731504998
30,3.77828,1.4809410166654742
31,3.85826,1.4951082317012878
32,3.90616,1.3918795260568344
33,3.94606,1.2830626648529386
34,3.96996,1.167054175151378
35,4.00983,1.0180383917411182
36,4.04967,0.829738759501546
37,4.08143,0.5453718795205107
38,4.14522,0.27694783720730376
39,4.20904,0.05624493496262668
40,4.24097,-0.03778020574557149
41,4.27293,-0.09516098133816538
42,4.36891,-0.11675849195737416
43,4.48086,-0.19958344032733125
44,4.60081,-0.26640345830279644
45,4.76077,-0.3392804335339871
46,4.95274,-0.3970822722947505
47,5.13675,-0.38895505744781417
48,5.25675,-0.3980414655645685
49,5.37684,-0.2634394121150228
50,5.45694,-0.09722339920690118
51,5.54507,0.12348556500118534
52,5.64916,0.27678178806579723
53,5.76122,0.3849150150475638
54,5.87319,0.34008605999913866
55,5.9371,0.1851131392054209
56,6.00901,0.026759755604001727
57,6.09687,-0.24440602509779377
58,6.16083,-0.3292926994996388
59,6.33681,-0.3669241065394449
60,6.50493,-0.14486909973626344
61,6.69699,-0.029829692272762463
62,6.88104,0.09195057478076538
63,7.04106,0.12544465921000833
64,7.24109,0.19352376604096252
65,7.48109,0.19993795283464014
66,7.63301,0.03399186923018953
67,7.80099,-0.03474712238227878
68,7.97691,-0.21318177350407713
69,7.92893,-0.17658252294365218
