,r,rdf
0,0.03,0.0
1,0.09,0.0
2,0.15,0.0
3,0.21,0.0
4,0.27,0.0
5,0.32999999999999996,0.0
6,0.39,0.0
7,0.44999999999999996,0.0
8,0.51,0.0
9,0.5700000000000001,0.0
10,0.6299999999999999,0.0
11,0.69,0.0
12,0.75,0.0
13,0.81,0.0
14,0.8699999999999999,0.0
15,0.9299999999999999,0.0
16,0.99,0.0
17,1.05,0.0
18,1.1099999999999999,0.0
19,1.17,0.0
20,1.23,0.0
21,1.29,0.0
22,1.3499999999999999,0.0
23,1.41,0.0
24,1.47,0.0
25,1.53,0.0
26,1.5899999999999999,0.0
27,1.65,0.0
28,1.71,0.0
29,1.77,0.0
30,1.8299999999999998,0.0
31,1.89,0.0
32,1.95,0.0
33,2.01,0.0
34,2.0700000000000003,0.0
35,2.13,0.0
36,2.19,0.0
37,2.25,0.00025616911085071304
38,2.3099999999999996,0.018146627331094508
39,2.37,0.15946528062545148
40,2.4299999999999997,0.672566734174994
41,2.49,1.628522003064904
42,2.55,2.6960601507261326
43,2.61,3.24823416262532
44,2.67,3.246941036631069
45,2.7299999999999995,2.8227357913337188
46,2.79,2.324773959970627
47,2.8499999999999996,1.8185396990687017
48,2.91,1.4276615638723449
49,2.9699999999999998,1.1197879930322434
50,3.0300000000000002,0.9343854087443568
51,3.09,0.7817311359756347
52,3.15,0.6881041439214228
53,3.21,0.6357712011142433
54,3.2699999999999996,0.596281264094522
55,3.33,0.6000940637488131
56,3.3899999999999997,0.6206824822737159
57,3.45,0.629536446481361
58,3.51,0.6653934394400477
59,3.57,0.6698764845254616
60,3.63,0.6714054913386459
61,3.6899999999999995,0.6585119616134811
62,3.75,0.6364711698544607
63,3.8099999999999996,0.6139325927356888
64,3.87,0.6107462188225383
65,3.9299999999999997,0.6179629962519991
66,3.9899999999999998,0.6347100019257532
67,4.05,0.6570005362136689
68,4.109999999999999,0.6812089443177285
69,4.17,0.7069939948629658
70,4.23,0.7278389901238453
71,4.29,0.7656887151442971
72,4.35,0.8107373197600253
73,4.41,0.8637595126903029
74,4.47,0.9414856361924832
75,4.529999999999999,1.0431947442978726
76,4.59,1.1216521295786737
77,4.65,1.2053756851487971
78,4.71,1.2696275633490872
79,4.77,1.2973965746203324
80,4.83,1.340172968392503
81,4.89,1.377525300479384
82,4.949999999999999,1.4093315738513612
83,5.01,1.4537474122387297
84,5.07,1.4720995516279372
85,5.13,1.4642807543656844
86,5.1899999999999995,1.4400415801958184
87,5.25,1.3855445878003756
88,5.31,1.3190541777776492
89,5.369999999999999,1.2386522741235324
90,5.43,1.1690131883462525
91,5.49,1.103396768189284
92,5.55,1.046195743155562
93,5.609999999999999,1.0032641360400723
94,5.67,0.959794624042932
95,5.73,0.9326500145862319
96,5.789999999999999,0.9098487762428227
97,5.85,0.9079935527189955
98,5.91,0.8994040041133148
99,5.97,0.9076284432017276
