# x	cn_mean 	cn_std
0.21	3.928182	1.084425
0.62	6.573658	0.193902
1.25	7.431801	0.365254
1.71	8.542027	0.128064
2.17	8.614073	0.052990
2.71	8.782759	0.168633
3.25	8.930850	0.022895
3.75	9.163859	0.016942
4.20	9.506588	0.019464
