year,npub
2023,398
2022,327
2021,244
2020,190
2019,125
2018,83
2017,51
2016,34
2015,34
2014,12
2013,13
2012,6
2011,8
2010,2
2009,1
2007,3
2006,2
2005,2
2004,1
