year,npub
2023,1260
2022,1139
2021,993
2020,950
2019,870
2018,683
2017,609
2016,610
2015,551
2014,479
2013,398
2012,242
2011,226
2010,177
2009,157
2008,103
2007,78
2006,96
2005,35
2004,49
2003,32
