,ppm,exp,pred
0,49.0,5.294270000000001,5.2699825070812585
1,48.0,5.29365,5.274096184731347
2,47.0,5.30204,5.267967606229256
3,46.0,5.30942,5.272893267950561
4,45.0,5.30897,5.2855398108308895
5,44.0,5.324820000000001,5.291266278370442
6,43.0,5.32448,5.301876975521099
7,42.0,5.340540000000001,5.309445112489713
8,41.0,5.33882,5.318007478807019
9,40.0,5.354940000000001,5.327690473913071
10,39.0,5.362920000000001,5.338697924213211
11,38.0,5.37194,5.351281242181042
12,37.0,5.3851,5.3657526183680435
13,36.0,5.40086,5.382502043852159
14,35.0,5.41685,5.402018948302044
15,34.0,5.43182,5.42491892491381
16,33.0,5.44811,5.451975076166902
17,32.0,5.472480000000001,5.484151467078501
18,31.0,5.49624,5.522632427297041
19,30.0,5.52369,5.568835568618152
20,29.0,5.553800000000001,5.62438865973218
21,28.0,5.59356,5.69918273436932
22,27.0,5.63978,5.778300077511913
23,26.0,5.69059,5.872072258580105
24,25.0,5.75943,5.987976588230854
25,24.0,5.83952,6.1101017447284125
26,23.0,5.946940000000001,6.243688236835486
27,22.0,6.05219,6.384138324605423
28,21.0,6.18605,6.532336135394768
29,20.0,6.34785,6.66346831503421
30,19.0,6.51825,6.78647377181233
31,18.0,6.68499,6.874422231362568
32,17.0,6.8208400000000005,6.93681483756744
33,16.0,6.96326,6.961420046428176
34,15.0,7.0525400000000005,6.942776269563843
35,14.0,7.08837,6.898190321561995
36,13.0,7.0749200000000005,6.826890982187774
37,12.0,7.03549,6.725327415129917
38,11.0,6.970750000000001,6.618153262879336
39,10.0,6.90319,6.510451895481191
40,9.0,6.855110000000001,6.410673693533674
41,8.0,6.83724,6.317840272252744
42,7.0,6.81344,6.249842642066198
43,6.0,6.74826,6.187566585068895
44,5.0,6.667610000000001,6.167756411755976
45,4.0,6.59713,6.176959809342487
46,3.0,6.5549,6.218476345236768
47,2.0,6.537540000000001,6.291905335258455
48,1.0,6.529380000000001,6.387385246515926
49,0.0,6.521050000000001,6.480782721454974
50,-1.0,6.44922,6.481825539935237
51,-2.0,6.286530000000001,6.38235361068478
52,-3.0,6.1205300000000005,6.221098922986405
53,-4.0,5.969040000000001,6.053601858797021
54,-5.0,5.85944,5.912428614981086
55,-6.0,5.76342,5.7911929157126485
56,-7.0,5.691750000000001,5.698354371978954
57,-8.0,5.626860000000001,5.621365350301325
58,-9.0,5.578240000000001,5.559527781430045
59,-10.0,5.53823,5.501820893442813
60,-11.0,5.4987200000000005,5.461170425511591
61,-12.0,5.4657800000000005,5.432479526380179
62,-13.0,5.44277,5.401641297940494
63,-14.0,5.416180000000001,5.380612807247855
64,-15.0,5.40094,5.3597103358223945
65,-16.0,5.37774,5.339445633109122
66,-17.0,5.36721,5.335452965993022
67,-18.0,5.355600000000001,5.315326790993952
68,-19.0,5.33947,5.303599910502779
69,-20.0,5.32429,5.293032004808935
70,-21.0,5.31635,5.289828456461241
71,-22.0,5.30886,5.278409402958452
72,-23.0,5.30205,5.276468968712097
73,-24.0,5.293710000000001,5.266474638587651
74,-25.0,5.28589,5.26431674393763
75,-26.0,5.2783,5.262288038563284
76,-27.0,5.27871,5.2608433469998745
77,-28.0,5.26215,5.250859271306457
78,-29.0,5.26294,5.249263945447289
79,-30.0,5.26276,5.239946828595783
80,-31.0,5.247590000000001,5.2384385304345695
81,-32.0,5.247590000000001,5.237100662886758
82,-33.0,5.247590000000001,5.235845713783291
83,-34.0,5.243130000000001,5.234666938816938
84,-35.0,5.23128,5.233558268805272
85,-36.0,5.232240000000001,5.232514229821868
86,-37.0,5.232240000000001,5.231529874185871
87,-38.0,5.232240000000001,5.230600720647933
88,-39.0,5.232990000000001,5.229722702392418
89,-40.0,5.22457,5.228892121705377
90,-41.0,5.2251,5.228105610345607
91,-42.0,5.21689,5.227360094810243
92,-43.0,5.21689,5.2266527658135855
93,-44.0,5.21689,5.225981051403027
94,-45.0,5.21689,5.225342593223406
95,-46.0,5.21689,5.224735225514001
96,-47.0,5.21684,5.224156956483315
97,-48.0,5.20922,5.223605951757994
98,-49.0,5.209210000000001,5.223080519645285
