# r, g0(r), g1(r), g2(r), g3(r), g4(r), gelse(r)
   0.401250E+01    0.441036E-03    0.158004E-01    0.163564E+00    0.322838E+00    0.150250E+00    0.313303E-01
   0.403750E+01    0.442191E-03    0.175622E-01    0.171580E+00    0.331416E+00    0.149239E+00    0.313329E-01
   0.406250E+01    0.563884E-03    0.184680E-01    0.180782E+00    0.339790E+00    0.148031E+00    0.296512E-01
   0.408750E+01    0.779166E-03    0.195435E-01    0.189701E+00    0.346851E+00    0.148676E+00    0.293797E-01
   0.411250E+01    0.658398E-03    0.215236E-01    0.200010E+00    0.354435E+00    0.147593E+00    0.284861E-01
   0.413750E+01    0.688174E-03    0.222950E-01    0.211650E+00    0.363692E+00    0.146619E+00    0.279858E-01
   0.416250E+01    0.484336E-03    0.243565E-01    0.224434E+00    0.370476E+00    0.146217E+00    0.273867E-01
   0.418750E+01    0.493909E-03    0.257661E-01    0.237144E+00    0.380515E+00    0.144829E+00    0.264563E-01
   0.421250E+01    0.369837E-03    0.280136E-01    0.251944E+00    0.388984E+00    0.143445E+00    0.257613E-01
   0.423750E+01    0.257638E-03    0.305061E-01    0.267398E+00    0.395312E+00    0.143708E+00    0.247362E-01
   0.426250E+01    0.186527E-03    0.332018E-01    0.285316E+00    0.404758E+00    0.142196E+00    0.238251E-01
   0.428750E+01    0.175579E-03    0.354699E-01    0.301598E+00    0.412251E+00    0.141912E+00    0.233872E-01
   0.431250E+01    0.115700E-03    0.377152E-01    0.318868E+00    0.418925E+00    0.140971E+00    0.229693E-01
   0.433750E+01    0.134385E-03    0.415191E-01    0.340199E+00    0.423020E+00    0.140246E+00    0.222735E-01
   0.436250E+01    0.107410E-03    0.452618E-01    0.357657E+00    0.428044E+00    0.138838E+00    0.217307E-01
   0.438750E+01    0.922168E-04    0.491907E-01    0.377432E+00    0.433142E+00    0.136942E+00    0.206622E-01
   0.441250E+01    0.157484E-03    0.543761E-01    0.395522E+00    0.436470E+00    0.135768E+00    0.201911E-01
   0.443750E+01    0.147519E-03    0.596222E-01    0.412927E+00    0.441185E+00    0.135622E+00    0.191365E-01
   0.446250E+01    0.205299E-03    0.645396E-01    0.431980E+00    0.441877E+00    0.133766E+00    0.187444E-01
   0.448750E+01    0.195004E-03    0.704607E-01    0.449977E+00    0.443664E+00    0.130923E+00    0.174035E-01
   0.451250E+01    0.232476E-03    0.769232E-01    0.465547E+00    0.442593E+00    0.128615E+00    0.173248E-01
   0.453750E+01    0.258662E-03    0.833231E-01    0.481968E+00    0.440645E+00    0.125880E+00    0.163271E-01
   0.456250E+01    0.333361E-03    0.907336E-01    0.500217E+00    0.440512E+00    0.123938E+00    0.156835E-01
   0.458750E+01    0.306732E-03    0.993506E-01    0.513565E+00    0.436928E+00    0.122018E+00    0.148458E-01
