x,dft,reax,dftba,dftbb
0.00000,0.00000,0.00000,0.00000,0.00000
0.21121,-0.24221,-0.21305,-0.28180,-0.26791
0.23491,-0.25609,-0.20886,-0.25470,-0.22067
0.29957,-0.26438,-0.22896,-0.25188,-0.26993
0.36853,-0.25808,-0.17197,-0.22405,-0.25391
0.50000,-0.20521,-0.30243,-0.22049,-0.21076
1.00000,0.00,0.00,0.00,0.00  
