temps,dcoeffs,dcoeffs_err
800,3.6607184093197458e-06,1.4303000220711035e-08
1000,6.243999667669798e-06,9.70718762283501e-09
1200,9.091301325867663e-06,7.723662572381636e-09
1400,1.362926310117563e-05,2.190458716954787e-08
1500,1.3342379770717314e-05,4.194730681778203e-08
1600,1.748290199846561e-05,2.4470534558376197e-08
