temps,dcoeffs,dcoeffs_err
800,2.1347315500878135e-07,5.64938613697711e-10
1000,3.7557361310695697e-07,1.5282850342734885e-09
1200,4.097723395677473e-07,2.50675564852595e-09
1400,1.4899675314251968e-06,7.038541881418722e-09
1500,4.880405875817973e-06,6.5843606736747136e-09
1600,3.6089129579778633e-06,6.708205024715838e-09
