,t,msd
0,0.0,0.0
1,0.1,0.83883154
2,0.2,1.4901191
3,0.3,2.0390975
4,0.4,2.6883278
5,0.5,3.281808
6,0.6,3.8711038
7,0.7,4.480759
8,0.8,5.0491505
9,0.9,5.6324844
10,1.0,6.208654
11,1.1,6.776505
12,1.2,7.36776
13,1.3,7.943474
14,1.4,8.525696
15,1.5,9.086881
16,1.6,9.651655
17,1.7,10.22194
18,1.8,10.801697
19,1.9,11.373564
20,2.0,11.949427
21,2.1,12.531609
22,2.2,13.110054
23,2.3,13.702961
24,2.4,14.291228
25,2.5,14.882847
26,2.6,15.475553
27,2.7,16.057928
28,2.8,16.649612
29,2.9,17.229843
30,3.0,17.810642
31,3.1,18.394909
32,3.2,18.980373
33,3.3,19.569372
34,3.4,20.151976
35,3.5,20.728632
36,3.6,21.298162
37,3.7,21.869846
38,3.8,22.436808
39,3.9,22.998539
40,4.0,23.552238
41,4.1,24.11227
42,4.2,24.671877
43,4.3,25.239765
44,4.4,25.812754
45,4.5,26.377584
46,4.6,26.962145
47,4.7,27.543688
48,4.8,28.121283
49,4.9,28.698769
50,5.0,29.275566
51,5.1,29.863995
52,5.2,30.447515
53,5.3,31.02434
54,5.4,31.601013
55,5.5,32.1773
56,5.6,32.76286
57,5.7,33.35646
58,5.8,33.95059
59,5.9,34.54871
60,6.0,35.13661
61,6.1,35.725067
62,6.2,36.31655
63,6.3,36.910473
64,6.4,37.50078
65,6.5,38.07647
66,6.6,38.647495
67,6.7,39.224377
68,6.8,39.794094
69,6.9,40.358704
70,7.0,40.9369
71,7.1,41.505363
72,7.2,42.06982
73,7.3,42.638065
74,7.4,43.220985
75,7.5,43.795673
76,7.6,44.36699
77,7.7,44.94243
78,7.8,45.515846
79,7.9,46.087452
80,8.0,46.6616
81,8.1,47.24149
82,8.2,47.817593
83,8.3,48.402145
84,8.4,48.98335
85,8.5,49.565727
86,8.6,50.151165
87,8.7,50.728928
88,8.8,51.302605
89,8.9,51.880436
90,9.0,52.455513
91,9.1,53.03303
92,9.2,53.612568
93,9.3,54.191525
94,9.4,54.753338
95,9.5,55.31323
96,9.6,55.888134
97,9.7,56.45568
