,t,msd
0,0.0,0.0
1,0.1,1.0046158
2,0.2,1.8253958
3,0.3,2.5374296
4,0.4,3.377343
5,0.5,4.1579347
6,0.6,4.924249
7,0.7,5.734132
8,0.8,6.494952
9,0.9,7.2837825
10,1.0,8.065901
11,1.1,8.829355
12,1.2,9.608044
13,1.3,10.3612585
14,1.4,11.127613
15,1.5,11.89931
16,1.6,12.667032
17,1.7,13.437028
18,1.8,14.205638
19,1.9,14.957319
20,2.0,15.726401
21,2.1,16.50056
22,2.2,17.269688
23,2.3,18.03651
24,2.4,18.792355
25,2.5,19.553988
26,2.6,20.325241
27,2.7,21.063936
28,2.8,21.816479
29,2.9,22.563059
30,3.0,23.301773
31,3.1,24.057863
32,3.2,24.805801
33,3.3,25.553907
34,3.4,26.310776
35,3.5,27.06145
36,3.6,27.807848
37,3.7,28.55444
38,3.8,29.294462
39,3.9,30.04942
40,4.0,30.805992
41,4.1,31.568724
42,4.2,32.34318
43,4.3,33.11172
44,4.4,33.89168
45,4.5,34.67276
46,4.6,35.46136
47,4.7,36.25105
48,4.8,37.030476
49,4.9,37.824013
50,5.0,38.609447
51,5.1,39.38246
52,5.2,40.167416
53,5.3,40.9479
54,5.4,41.717842
55,5.5,42.501022
56,5.6,43.274338
57,5.7,44.046577
58,5.8,44.82469
59,5.9,45.587868
60,6.0,46.35147
61,6.1,47.115406
62,6.2,47.878906
63,6.3,48.64298
64,6.4,49.40044
65,6.5,50.144333
66,6.6,50.892002
67,6.7,51.626537
68,6.8,52.368004
69,6.9,53.10181
70,7.0,53.839607
71,7.1,54.57843
72,7.2,55.316933
73,7.3,56.046944
74,7.4,56.785473
75,7.5,57.535423
76,7.6,58.273552
77,7.7,59.013126
78,7.8,59.74248
79,7.9,60.48823
80,8.0,61.22411
81,8.1,61.966316
82,8.2,62.71657
83,8.3,63.47279
84,8.4,64.22315
85,8.5,64.98229
86,8.6,65.751
87,8.7,66.525635
88,8.8,67.29507
89,8.9,68.066284
90,9.0,68.839096
91,9.1,69.61626
92,9.2,70.40042
93,9.3,71.1844
94,9.4,71.96875
95,9.5,72.75066
96,9.6,73.53227
97,9.7,74.315315
98,9.8,75.08925
99,9.9,75.876625
100,10.0,76.66308
101,10.1,77.447235
102,10.2,78.24891
103,10.3,79.051575
104,10.4,79.85513
105,10.5,80.661804
106,10.6,81.461075
107,10.7,82.26593
108,10.8,83.07367
109,10.9,83.89044
110,11.0,84.69016
111,11.1,85.50242
112,11.2,86.31968
113,11.3,87.12859
114,11.4,87.93961
115,11.5,88.747696
116,11.6,89.55231
117,11.7,90.352715
118,11.8,91.149025
119,11.9,91.9339
120,12.0,92.722946
121,12.1,93.52045
122,12.2,94.30899
123,12.3,95.097595
124,12.4,95.89053
125,12.5,96.687
126,12.6,97.48679
127,12.7,98.27921
128,12.8,99.06781
129,12.9,99.85634
130,13.0,100.64432
131,13.1,101.415596
132,13.2,102.186134
133,13.3,102.96499
134,13.4,103.752655
135,13.5,104.53817
136,13.6,105.3422
137,13.7,106.145744
138,13.8,106.94524
139,13.9,107.74568
140,14.0,108.55428
141,14.1,109.37027
142,14.2,110.18892
143,14.3,111.001854
144,14.4,111.81131
145,14.5,112.63215
146,14.6,113.45238
147,14.7,114.273575
148,14.8,115.09511
149,14.9,115.91055
150,15.0,116.725044
151,15.1,117.54274
152,15.2,118.36046
153,15.3,119.196945
154,15.4,120.025734
155,15.5,120.87169
156,15.6,121.71747
157,15.7,122.553894
158,15.8,123.39908
159,15.9,124.23659
160,16.0,125.07023
161,16.1,125.899055
162,16.2,126.722176
163,16.3,127.54834
164,16.4,128.37695
165,16.5,129.20723
166,16.6,130.03645
167,16.7,130.86171
168,16.8,131.70682
169,16.9,132.55714
170,17.0,133.3831
171,17.1,134.22089
172,17.2,135.05353
173,17.3,135.8792
174,17.4,136.70377
175,17.5,137.52783
176,17.6,138.34459
177,17.7,139.17188
178,17.8,139.98845
179,17.9,140.80373
180,18.0,141.61537
181,18.1,142.43642
182,18.2,143.27411
183,18.3,144.10957
184,18.4,144.94292
185,18.5,145.78026
186,18.6,146.60754
187,18.7,147.44984
188,18.8,148.27318
189,18.9,149.09377
190,19.0,149.89822
191,19.1,150.7
192,19.2,151.49374
193,19.3,152.28484
194,19.4,153.07286
195,19.5,153.86836
196,19.6,154.6654
197,19.7,155.44951
198,19.8,156.23108
199,19.9,157.0031
200,20.0,157.7711
201,20.1,158.55107
202,20.2,159.32123
203,20.3,160.08438
204,20.4,160.85413
205,20.5,161.6162
206,20.6,162.37744
207,20.7,163.13622
208,20.8,163.8761
209,20.9,164.63942
210,21.0,165.3969
211,21.1,166.14711
212,21.2,166.89992
213,21.3,167.65292
214,21.4,168.41
215,21.5,169.18178
216,21.6,169.95422
