t,msd
0,0.0
1,1.3499761
2,2.564707
3,3.6428635
4,4.8185453
5,5.943799
6,7.040226
7,8.18648
8,9.261916
9,10.36217
10,11.459432
11,12.530657
12,13.650081
13,14.740443
14,15.819048
15,16.90197
16,17.996487
17,19.093056
18,20.182066
19,21.27987
20,22.382002
21,23.499
22,24.615107
23,25.743597
24,26.870462
25,27.993256
26,29.10789
27,30.217693
28,31.32586
29,32.415215
30,33.48635
31,34.57492
32,35.653957
33,36.736652
34,37.84696
35,38.95434
36,40.055256
37,41.147545
38,42.229393
39,43.308056
40,44.40551
41,45.5193
42,46.634613
43,47.74847
44,48.867897
45,49.99174
46,51.112675
47,52.20755
48,53.31596
49,54.43338
50,55.53328
51,56.648273
52,57.75979
53,58.853752
54,59.953075
55,61.051003
56,62.14083
57,63.259594
58,64.37409
59,65.492546
60,66.627945
61,67.75952
62,68.90162
63,70.05228
64,71.20311
65,72.34063
66,73.487144
67,74.656105
68,75.81185
69,76.97
70,78.12011
71,79.28542
72,80.46348
73,81.631714
74,82.7788
75,83.90894
76,85.03728
77,86.14624
78,87.26499
79,88.37565
80,89.46136
81,90.54285
82,91.6374
83,92.730705
84,93.84014
85,94.94951
86,96.02735
87,97.09674
88,98.16066
89,99.23635
90,100.334656
91,101.43632
92,102.55283
93,103.67195
94,104.80696
95,105.92304
96,107.03069
97,108.16879
98,109.31409
99,110.444565
100,111.57734
101,112.716606
102,113.837105
103,114.974525
104,116.111435
105,117.22041
106,118.34012
107,119.449554
108,120.5634
109,121.68467
110,122.81976
111,123.94103
112,125.04434
113,126.14565
114,127.24727
115,128.36697
116,129.48615
117,130.60353
118,131.72025
119,132.84875
120,133.98799
121,135.13602
122,136.27757
123,137.43024
124,138.59666
125,139.74744
126,140.90231
127,142.04378
128,143.18718
129,144.34593
130,145.50826
131,146.6962
132,147.89014
133,149.08728
134,150.27748
135,151.48373
136,152.6808
137,153.88187
138,155.07469
139,156.251
140,157.43239
141,158.60304
142,159.77798
143,160.94934
144,162.12488
145,163.31647
146,164.51273
147,165.71144
148,166.91737
149,168.12018
150,169.32275
151,170.52333
152,171.73912
153,172.9693
154,174.17563
155,175.3776
156,176.57138
157,177.77559
158,179.00522
159,180.25403
160,181.49937
161,182.72278
162,183.95844
163,185.19049
164,186.42654
165,187.65958
166,188.90611
167,190.14143
168,191.38431
169,192.63701
170,193.87762
171,195.13106
172,196.39993
173,197.67041
174,198.92506
175,200.1805
176,201.449
177,202.70967
178,203.97519
179,205.21927
180,206.47414
181,207.73087
182,208.9692
183,210.20326
184,211.43608
185,212.68004
186,213.95346
187,215.20482
188,216.46103
189,217.71138
190,218.95665
191,220.20296
192,221.45499
193,222.69629
194,223.90697
195,225.11963
196,226.3356
197,227.55952
198,228.78374
199,230.00282
200,231.24835
201,232.51094
202,233.78989
203,235.06885
204,236.32607
205,237.59203
206,238.85522
207,240.11064
208,241.36516
209,242.63911
210,243.89513
211,245.14896
212,246.37413
213,247.60689
214,248.85492
215,250.10207
216,251.35815
217,252.62564
218,253.90948
219,255.18822
220,256.44806
221,257.71088
222,258.9635
223,260.2363
224,261.50357
225,262.77515
226,264.03317
227,265.29822
228,266.55927
229,267.8047
230,269.0364
231,270.2755
232,271.51254
233,272.7572
234,274.00604
235,275.23648
236,276.4555
237,277.67026
238,278.89517
239,280.13025
240,281.3687
241,282.59262
242,283.8182
243,285.06625
244,286.32397
245,287.57593
246,288.82416
247,290.08524
248,291.36395
249,292.6348
250,293.89725
251,295.15442
252,296.41727
253,297.69125
254,298.93924
255,300.18573
256,301.44537
257,302.7005
258,303.96255
259,305.2156
260,306.46335
261,307.72226
262,308.96814
263,310.20438
264,311.4344
265,312.6445
266,313.87534
267,315.0915
268,316.317
269,317.55835
270,318.77496
271,319.9801
272,321.173
273,322.36707
274,323.57468
275,324.78152
276,326.0013
277,327.2335
278,328.48334
279,329.71765
280,330.94324
281,332.16513
282,333.3799
283,334.6076
284,335.85715
285,337.09143
286,338.31223
287,339.55713
288,340.80057
289,342.06116
290,343.31238
291,344.57654
292,345.8167
293,347.09167
294,348.35858
295,349.6334
296,350.90112
297,352.15567
298,353.40115
299,354.64212
300,355.87372
301,357.10635
302,358.3224
303,359.51257
304,360.70316
305,361.909
306,363.12405
307,364.30203
308,365.50674
309,366.71545
310,367.9292
311,369.1627
312,370.39078
313,371.62796
314,372.86566
315,374.1001
316,375.32712
317,376.56076
318,377.78625
319,378.99066
320,380.17892
321,381.3539
322,382.55008
323,383.76028
324,384.982
325,386.19275
326,387.42075
327,388.6362
328,389.8538
329,391.05426
330,392.27667
331,393.49942
332,394.73013
333,395.96338
334,397.16504
335,398.37384
336,399.5652
337,400.76556
338,401.987
339,403.1909
340,404.4248
341,405.6646
342,406.8857
343,408.10345
344,409.3305
345,410.5595
346,411.8006
347,413.06036
348,414.32806
349,415.60367
350,416.89462
351,418.18
352,419.4621
353,420.74197
354,422.00943
355,423.25534
356,424.5174
357,425.75833
358,426.9966
359,428.24414
360,429.497
361,430.7316
362,431.97952
363,433.22134
364,434.473
365,435.72205
366,436.94452
367,438.15408
368,439.37943
369,440.59094
370,441.81314
371,443.05225
372,444.30557
373,445.54816
374,446.77698
375,448.00415
376,449.2498
377,450.47504
378,451.73224
379,452.98495
380,454.22516
381,455.47226
382,456.7624
383,458.05768
384,459.34723
385,460.62695
386,461.915
387,463.19638
388,464.48676
389,465.77704
390,467.08963
391,468.38354
392,469.67795
393,470.9515
394,472.1995
395,473.44363
396,474.69302
397,475.9254
398,477.16064
399,478.39734
400,479.62933
401,480.8518
402,482.07022
403,483.28265
404,484.5055
405,485.72296
406,486.97128
407,488.20566
408,489.4409
409,490.69302
410,491.94595
411,493.1997
412,494.46744
413,495.7415
414,497.01773
415,498.28833
416,499.59128
417,500.91678
418,502.2384
419,503.55054
420,504.83365
421,506.1175
422,507.4314
423,508.75238
424,510.08008
425,511.41803
426,512.77203
427,514.0943
428,515.41833
429,516.73486
430,518.0582
431,519.39294
432,520.72144
433,522.0483
434,523.36957
435,524.6815
436,525.975
437,527.3
438,528.59955
439,529.912
440,531.22156
441,532.52625
442,533.8335
443,535.1628
444,536.4904
445,537.82794
446,539.165
447,540.48706
448,541.79443
449,543.10187
450,544.39404
451,545.67413
452,546.972
453,548.2874
454,549.60187
455,550.9277
