,t,msd
0,0.0,0.0
1,0.1,1.1695279
2,0.2,2.193622
3,0.3,3.1000955
4,0.4,4.113059
5,0.5,5.063706
6,0.6,5.9751306
7,0.7,6.95467
8,0.8,7.8818827
9,0.9,8.831096
10,1.0,9.782541
11,1.1,10.730924
12,1.2,11.713245
13,1.3,12.68132
14,1.4,13.65638
15,1.5,14.625836
16,1.6,15.572835
17,1.7,16.533274
18,1.8,17.49037
19,1.9,18.438437
20,2.0,19.38113
21,2.1,20.32551
22,2.2,21.245855
23,2.3,22.173986
24,2.4,23.106272
25,2.5,24.038504
26,2.6,24.971085
27,2.7,25.896955
28,2.8,26.8111
29,2.9,27.719812
30,3.0,28.645157
31,3.1,29.552721
32,3.2,30.441132
33,3.3,31.336163
34,3.4,32.23804
35,3.5,33.134724
36,3.6,34.039158
37,3.7,34.930897
38,3.8,35.82944
39,3.9,36.734783
40,4.0,37.631325
41,4.1,38.503628
42,4.2,39.397366
43,4.3,40.293636
44,4.4,41.18807
45,4.5,42.08527
46,4.6,42.99268
47,4.7,43.894585
48,4.8,44.79134
49,4.9,45.698017
50,5.0,46.611443
51,5.1,47.52431
52,5.2,48.434525
53,5.3,49.333313
54,5.4,50.23279
55,5.5,51.141483
56,5.6,52.02306
57,5.7,52.928772
58,5.8,53.853794
59,5.9,54.768894
60,6.0,55.679558
61,6.1,56.58586
62,6.2,57.480312
63,6.3,58.37526
64,6.4,59.269955
65,6.5,60.172832
66,6.6,61.085217
67,6.7,61.988155
68,6.8,62.90932
69,6.9,63.83242
70,7.0,64.75372
71,7.1,65.672325
72,7.2,66.58726
73,7.3,67.49413
74,7.4,68.3791
75,7.5,69.26353
76,7.6,70.15801
77,7.7,71.07415
78,7.8,71.980255
79,7.9,72.89926
80,8.0,73.8112
81,8.1,74.72669
82,8.2,75.64072
83,8.3,76.54807
84,8.4,77.45827
85,8.5,78.36539
86,8.6,79.257385
87,8.7,80.16265
88,8.8,81.056496
89,8.9,81.933846
90,9.0,82.81585
91,9.1,83.69717
92,9.2,84.567635
93,9.3,85.46096
94,9.4,86.36739
95,9.5,87.26488
96,9.6,88.1703
97,9.7,89.08152
98,9.8,89.988434
99,9.9,90.922844
100,10.0,91.86022
101,10.1,92.80929
102,10.2,93.75699
103,10.3,94.69545
104,10.4,95.653076
105,10.5,96.60551
106,10.6,97.54474
107,10.7,98.497925
108,10.8,99.4331
109,10.9,100.3781
110,11.0,101.33595
111,11.1,102.28246
112,11.2,103.21923
113,11.3,104.15785
114,11.4,105.09348
115,11.5,106.04682
116,11.6,107.00365
117,11.7,107.960686
118,11.8,108.9121
119,11.9,109.86553
120,12.0,110.81029
121,12.1,111.74329
122,12.2,112.69606
123,12.3,113.63528
124,12.4,114.58774
125,12.5,115.53083
126,12.6,116.48177
127,12.7,117.426575
128,12.8,118.37168
129,12.9,119.30709
130,13.0,120.22415
131,13.1,121.14724
132,13.2,122.089
133,13.3,123.048225
134,13.4,124.00857
135,13.5,124.963005
136,13.6,125.91995
137,13.7,126.88127
138,13.8,127.83306
139,13.9,128.79524
140,14.0,129.75017
141,14.1,130.7043
142,14.2,131.65776
143,14.3,132.61824
144,14.4,133.58397
145,14.5,134.54666
146,14.6,135.50052
147,14.7,136.45859
148,14.8,137.40955
149,14.9,138.37384
150,15.0,139.34113
151,15.1,140.29504
152,15.2,141.264
153,15.3,142.23503
154,15.4,143.19785
155,15.5,144.17242
156,15.6,145.14493
157,15.7,146.11794
158,15.8,147.0718
159,15.9,148.00992
160,16.0,148.94917
161,16.1,149.88878
162,16.2,150.84555
163,16.3,151.79013
164,16.4,152.72845
165,16.5,153.6749
166,16.6,154.61935
167,16.7,155.55804
168,16.8,156.50038
169,16.9,157.44308
170,17.0,158.3811
171,17.1,159.31331
172,17.2,160.27226
173,17.3,161.2497
174,17.4,162.22025
175,17.5,163.19708
176,17.6,164.17546
177,17.7,165.14514
178,17.8,166.10956
179,17.9,167.0836
180,18.0,168.04701
181,18.1,169.02231
182,18.2,170.01097
183,18.3,170.98181
184,18.4,171.94331
185,18.5,172.90099
186,18.6,173.87238
187,18.7,174.84433
188,18.8,175.80661
189,18.9,176.75793
190,19.0,177.7123
191,19.1,178.67805
192,19.2,179.6322
193,19.3,180.58162
194,19.4,181.53172
195,19.5,182.47751
196,19.6,183.42212
197,19.7,184.36145
198,19.8,185.30087
199,19.9,186.21837
200,20.0,187.13223
201,20.1,188.06244
202,20.2,188.985
203,20.3,189.90527
204,20.4,190.82991
205,20.5,191.74263
206,20.6,192.66833
207,20.7,193.59734
208,20.8,194.52211
209,20.9,195.46182
210,21.0,196.41412
211,21.1,197.37024
212,21.2,198.3238
213,21.3,199.29573
214,21.4,200.25856
215,21.5,201.20615
216,21.6,202.15637
217,21.7,203.09476
218,21.8,204.03397
219,21.9,204.98067
220,22.0,205.92865
221,22.1,206.86684
222,22.2,207.79973
223,22.3,208.74985
224,22.4,209.70468
225,22.5,210.6568
226,22.6,211.6138
227,22.7,212.54619
228,22.8,213.47835
229,22.9,214.41937
230,23.0,215.33884
231,23.1,216.24916
232,23.2,217.15695
233,23.3,218.05745
234,23.4,218.95886
235,23.5,219.86208
236,23.6,220.75536
237,23.7,221.64803
238,23.8,222.55122
239,23.9,223.4611
240,24.0,224.377
241,24.1,225.28178
242,24.2,226.19398
243,24.3,227.10176
244,24.4,228.00806
245,24.5,228.92596
246,24.6,229.83685
247,24.7,230.7384
248,24.8,231.64827
249,24.9,232.5607
250,25.0,233.4679
251,25.1,234.37035
252,25.2,235.28987
253,25.3,236.20172
254,25.4,237.11537
255,25.5,238.02606
256,25.6,238.94226
257,25.7,239.83815
258,25.8,240.74838
259,25.9,241.6639
260,26.0,242.59601
261,26.1,243.5329
262,26.2,244.45992
263,26.3,245.38359
264,26.4,246.30682
265,26.5,247.2535
266,26.6,248.2043
267,26.7,249.16211
268,26.8,250.1354
269,26.9,251.0935
270,27.0,252.04071
271,27.1,252.98901
272,27.2,253.95026
273,27.3,254.90862
274,27.4,255.84583
275,27.5,256.77704
276,27.6,257.705
277,27.7,258.62378
278,27.8,259.55823
279,27.9,260.49985
280,28.0,261.4204
281,28.1,262.35138
282,28.2,263.28442
283,28.3,264.226
284,28.4,265.16296
285,28.5,266.11816
286,28.6,267.0524
287,28.7,267.98975
288,28.8,268.91238
289,28.9,269.83646
290,29.0,270.74496
291,29.1,271.6761
292,29.2,272.6187
293,29.3,273.55884
294,29.4,274.49725
295,29.5,275.42392
296,29.6,276.35544
297,29.7,277.2779
298,29.8,278.18314
299,29.9,279.07806
300,30.0,279.97034
301,30.1,280.8831
302,30.2,281.81802
303,30.3,282.74408
304,30.4,283.67343
305,30.5,284.59253
306,30.6,285.50485
307,30.7,286.40936
308,30.8,287.29974
309,30.9,288.19534
310,31.0,289.104
311,31.1,290.00302
312,31.2,290.90967
313,31.3,291.801
314,31.4,292.68964
315,31.5,293.57156
316,31.6,294.4666
317,31.7,295.36298
318,31.8,296.2612
319,31.9,297.17365
320,32.0,298.07974
321,32.1,298.98032
322,32.2,299.89777
323,32.3,300.80267
324,32.4,301.70016
325,32.5,302.587
326,32.6,303.48526
327,32.7,304.38
328,32.8,305.27176
329,32.9,306.17737
330,33.0,307.07883
331,33.1,307.95425
