t,msd
458,369.18414
459,369.957
460,370.72806
461,371.4964
462,372.23465
463,372.97028
464,373.6827
465,374.4305
466,375.2015
467,375.9647
468,376.74658
469,377.52042
470,378.2867
471,379.03384
472,379.82773
473,380.6186
474,381.44962
475,382.2813
476,383.10007
477,383.9434
478,384.78998
479,385.66333
480,386.52292
481,387.3808
482,388.21698
483,389.06262
484,389.90366
485,390.73764
486,391.574
487,392.39984
488,393.21548
489,394.02362
490,394.8314
491,395.64764
492,396.45554
493,397.24924
494,398.04425
495,398.80188
496,399.58856
497,400.3567
498,401.13095
499,401.93823
500,402.75085
501,403.57108
502,404.40097
503,405.231
504,406.08087
505,406.92496
506,407.7466
507,408.61475
508,409.46988
509,410.31247
510,411.1491
511,411.97842
512,412.79733
513,413.59805
514,414.36536
515,415.13562
516,415.92224
517,416.7185
518,417.4849
519,418.26776
520,419.00616
521,419.78152
522,420.54453
523,421.3118
524,422.09943
525,422.8995
526,423.68896
527,424.49527
528,425.31827
529,426.1605
530,426.98688
531,427.82562
532,428.67224
533,429.52243
534,430.37164
535,431.23227
536,432.10617
537,432.93768
538,433.79388
539,434.65695
540,435.4996
541,436.36246
542,437.23706
543,438.12463
544,439.0063
545,439.9082
546,440.79764
547,441.67175
548,442.56293
549,443.41864
550,444.28668
551,445.13672
552,445.98947
553,446.84134
554,447.72208
555,448.58594
556,449.43652
557,450.29712
558,451.1863
559,452.06613
560,452.91782
561,453.76346
562,454.59824
563,455.4515
564,456.3275
565,457.20245
566,458.0923
567,458.9874
568,459.87073
569,460.76056
570,461.6521
571,462.58008
572,463.49792
573,464.41068
574,465.3273
575,466.20477
576,467.1152
577,468.0197
578,468.93106
579,469.87772
580,470.82007
581,471.7363
582,472.6742
583,473.6209
584,474.57376
585,475.52298
586,476.49612
587,477.44202
588,478.4232
589,479.38547
590,480.33472
591,481.2933
592,482.2513
593,483.17816
594,484.10815
595,485.0124
596,485.932
597,486.84146
598,487.74707
599,488.60764
600,489.48065
601,490.36554
602,491.2867
603,492.1815
604,493.06406
605,493.97446
606,494.8964
607,495.78406
608,496.68024
609,497.59714
610,498.5062
611,499.39508
612,500.3069
613,501.22592
614,502.11798
615,503.0036
616,503.86658
617,504.75803
618,505.6172
619,506.54202
620,507.45535
621,508.37677
622,509.32236
623,510.26627
624,511.21515
625,512.1601
626,513.13556
627,514.10974
628,515.05707
629,516.0144
630,516.9564
631,517.9048
632,518.8375
633,519.77203
634,520.71466
635,521.62805
636,522.5736
637,523.4905
638,524.42346
639,525.3718
640,526.3176
641,527.27203
642,528.226
643,529.15686
644,530.0423
645,530.95764
646,531.8564
647,532.7759
648,533.678
649,534.61316
650,535.5536
651,536.4741
652,537.42487
653,538.36346
654,539.3064
655,540.26715
656,541.22296
657,542.1708
658,543.09546
659,544.0514
660,544.99585
661,545.9287
662,546.83813
663,547.7296
664,548.6235
665,549.5727
666,550.5416
667,551.5071
668,552.46265
669,553.4114
670,554.3473
671,555.2985
672,556.2851
673,557.28485
674,558.2638
675,559.22125
676,560.16345
677,561.1276
678,562.07434
679,563.0107
680,563.94727
681,564.88794
682,565.83875
683,566.7824
684,567.714
685,568.6775
686,569.6512
687,570.6178
688,571.6021
689,572.59454
690,573.5527
691,574.51886
692,575.516
693,576.51086
694,577.5482
695,578.5578
696,579.5366
697,580.51166
698,581.4902
699,582.49445
700,583.4925
701,584.4981
702,585.5006
703,586.5089
704,587.51404
705,588.5067
706,589.5292
707,590.5272
708,591.5307
709,592.563
710,593.56323
711,594.60846
712,595.62476
713,596.6569
714,597.70654
715,598.74255
716,599.76654
717,600.76654
718,601.81494
719,602.84644
720,603.8927
721,604.9576
722,606.0158
723,607.06964
724,608.1656
725,609.2496
726,610.32825
727,611.41254
728,612.5037
729,613.6188
730,614.72296
731,615.8453
732,616.9732
733,618.093
734,619.2146
735,620.3213
736,621.43884
737,622.55426
738,623.6576
739,624.76733
740,625.8823
741,626.9803
742,628.066
743,629.1414
744,630.2119
745,631.3043
746,632.37823
747,633.44763
748,634.5111
749,635.57166
750,636.63855
751,637.7028
752,638.7682
753,639.79333
754,640.8209
755,641.85065
756,642.8483
757,643.8311
758,644.8432
759,645.8853
760,646.9365
761,647.99786
762,649.0556
763,650.1431
764,651.2023
765,652.2694
766,653.3202
767,654.33746
768,655.3462
769,656.34283
770,657.35223
771,658.33594
772,659.3398
773,660.3272
774,661.30365
775,662.31134
776,663.32904
777,664.32623
778,665.3563
779,666.3788
780,667.42377
781,668.4878
782,669.50757
783,670.5052
784,671.5349
785,672.57684
786,673.643
787,674.7165
788,675.79364
789,676.89154
790,677.9528
791,678.9902
792,680.0587
793,681.11145
794,682.148
795,683.2033
796,684.2625
797,685.3016
798,686.34265
799,687.4126
800,688.4632
801,689.52356
802,690.5836
803,691.65796
804,692.7162
805,693.76904
806,694.8336
807,695.91223
808,696.9809
809,698.06555
810,699.17285
811,700.2767
812,701.35486
813,702.4734
814,703.59174
815,704.71277
816,705.8439
817,706.97577
818,708.10004
819,709.21893
820,710.3507
821,711.4761
822,712.5932
823,713.70355
824,714.82153
825,715.8978
826,716.96783
827,718.04333
828,719.1376
829,720.2254
830,721.31757
831,722.4131
832,723.5354
833,724.6297
834,725.7358
835,726.8662
836,727.9921
837,729.1196
838,730.22815
839,731.3474
840,732.5285
841,733.7271
842,734.9011
843,736.0828
844,737.2275
845,738.40234
846,739.5686
847,740.716
848,741.8684
849,743.0366
850,744.1844
851,745.33875
852,746.49133
853,747.6759
854,748.8487
855,750.0283
856,751.2013
857,752.35406
858,753.5088
859,754.6402
860,755.7706
861,756.91785
862,758.061
863,759.1941
864,760.36127
865,761.5198
866,762.67487
867,763.86206
868,765.04987
869,766.2242
870,767.40314
871,768.5489
872,769.71576
873,770.91174
874,772.0743
875,773.25305
876,774.4047
877,775.5489
878,776.68787
879,777.8168
880,778.9673
881,780.10095
882,781.2944
883,782.48865
884,783.6706
885,784.8327
886,785.99
887,787.1566
888,788.32025
889,789.5057
890,790.676
891,791.84314
892,792.9926
893,794.13055
894,795.26843
895,796.41095
896,797.55096
897,798.66766
898,799.8107
899,800.9651
900,802.10626
901,803.21515
902,804.34106
903,805.47314
904,806.5987
905,807.73456
906,808.8714
907,810.02
908,811.1737
909,812.3197
910,813.4562
911,814.62604
912,815.76483
913,816.9038
914,818.0467
915,819.21747
916,820.4131
917,821.5929
918,822.74255
919,823.8828
920,825.00635
921,826.12585
922,827.2304
923,828.37085
924,829.5022
925,830.635
926,831.7761
927,832.9379
928,834.1047
929,835.26904
930,836.42035
931,837.5796
932,838.7486
933,839.902
934,841.07385
935,842.2254
936,843.3525
937,844.46686
938,845.5702
939,846.69104
940,847.82227
941,848.92566
942,850.022
943,851.08075
944,852.15063
945,853.2834
946,854.4048
947,855.5078
948,856.6043
949,857.6991
950,858.7984
951,859.9398
952,861.0816
953,862.2124
954,863.3629
955,864.51886
956,865.63916
957,866.76294
958,867.89856
959,869.0438
960,870.18835
961,871.28314
962,872.38855
963,873.509
964,874.6406
965,875.74506
966,876.83453
967,877.9585
968,879.06683
969,880.1957
970,881.3318
971,882.45514
972,883.5796
973,884.7257
974,885.8765
975,887.0159
976,888.1428
977,889.2596
978,890.37244
979,891.50214
980,892.59564
981,893.7133
982,894.81946
983,895.91516
984,897.002
985,898.1106
986,899.2098
987,900.3234
988,901.4289
989,902.51013
990,903.5875
991,904.6242
992,905.68713
993,906.71594
994,907.76746
995,908.8159
996,909.9154
997,911.013
998,912.1077
999,913.19037
