t,msd
457,466.43365
458,467.43536
459,468.41757
460,469.3941
461,470.3468
462,471.30884
463,472.2526
464,473.194
465,474.1512
466,475.11325
467,476.07187
468,477.0397
469,478.00345
470,478.95227
471,479.9097
472,480.8776
473,481.85886
474,482.8419
475,483.8197
476,484.79034
477,485.77216
478,486.7554
479,487.72427
480,488.69342
481,489.6459
482,490.60104
483,491.57523
484,492.5438
485,493.52634
486,494.5126
487,495.49396
488,496.47476
489,497.4708
490,498.49457
491,499.5346
492,500.57465
493,501.6195
494,502.65387
495,503.6511
496,504.66833
497,505.69424
498,506.7257
499,507.76425
500,508.7748
501,509.7942
502,510.83743
503,511.87772
504,512.94763
505,514.033
506,515.1163
507,516.20685
508,517.312
509,518.38904
510,519.4684
511,520.55133
512,521.64124
513,522.7186
514,523.79364
515,524.88416
516,525.9804
517,527.0569
518,528.1415
519,529.23694
520,530.32526
521,531.4222
522,532.5181
523,533.61346
524,534.6837
525,535.7546
526,536.8156
527,537.8673
528,538.92267
529,539.962
530,541.0018
531,542.0561
532,543.1359
533,544.2145
534,545.28735
535,546.37854
536,547.46857
537,548.5405
538,549.6068
539,550.6753
540,551.758
541,552.82935
542,553.8855
543,554.9502
544,555.9929
545,557.0437
546,558.0938
547,559.1363
548,560.15875
549,561.19055
550,562.21686
551,563.24774
552,564.2873
553,565.34094
554,566.40027
555,567.4531
556,568.514
557,569.59344
558,570.67194
559,571.74744
560,572.80554
561,573.8785
562,574.9657
563,576.02386
564,577.08136
565,578.14655
566,579.17566
567,580.20154
568,581.2527
569,582.29156
570,583.31696
571,584.3376
572,585.3535
573,586.3628
574,587.3749
575,588.38666
576,589.39795
577,590.38293
578,591.3688
579,592.35406
580,593.3334
581,594.3072
582,595.26807
583,596.2224
584,597.18805
585,598.1561
586,599.1309
587,600.1047
588,601.0597
589,602.0005
590,602.96796
591,603.94586
592,604.9104
593,605.8632
594,606.81573
595,607.76117
596,608.69806
597,609.6331
598,610.5701
599,611.5021
600,612.4332
601,613.3592
602,614.2705
603,615.1994
604,616.15594
605,617.1176
606,618.10333
607,619.0667
608,620.02026
609,620.9736
610,621.9214
611,622.87146
612,623.8246
613,624.7606
614,625.69446
615,626.66534
616,627.64526
617,628.59595
618,629.5762
619,630.55774
620,631.5458
621,632.50494
622,633.4693
623,634.4429
624,635.4049
625,636.36316
626,637.323
627,638.29114
628,639.2773
629,640.27094
630,641.2771
631,642.25885
632,643.2257
633,644.21454
634,645.1936
635,646.18524
636,647.18274
637,648.1678
638,649.14844
639,650.13885
640,651.14276
641,652.1258
642,653.0915
643,654.01184
644,654.9517
645,655.90375
646,656.84894
647,657.7958
648,658.7451
649,659.68414
650,660.6436
651,661.5921
652,662.55
653,663.4919
654,664.41833
655,665.34015
656,666.24884
657,667.1683
658,668.07776
659,668.9927
660,669.89233
661,670.7778
662,671.64166
663,672.52356
664,673.3749
665,674.241
666,675.1019
667,675.98785
668,676.89996
669,677.7871
670,678.6648
671,679.5628
672,680.47235
673,681.39307
674,682.32367
675,683.27216
676,684.2225
677,685.1825
678,686.14746
679,687.1243
680,688.0952
681,689.0337
682,689.9673
683,690.9213
684,691.86536
685,692.8192
686,693.766
687,694.6977
688,695.6342
689,696.5588
690,697.47894
691,698.39624
692,699.3074
693,700.2222
694,701.1338
695,702.0573
696,702.97815
697,703.9092
698,704.8267
699,705.73145
700,706.64246
701,707.56335
702,708.4601
703,709.3742
704,710.2867
705,711.19257
706,712.09735
707,713.03296
708,713.977
709,714.8906
710,715.8178
711,716.74786
712,717.6666
713,718.6173
714,719.553
715,720.47797
716,721.426
717,722.3618
718,723.3017
719,724.2128
720,725.13446
721,726.02515
722,726.91473
723,727.78503
724,728.6709
725,729.5529
726,730.4328
727,731.31274
728,732.1819
729,733.02594
730,733.8901
731,734.7404
732,735.61346
733,736.49866
734,737.39417
735,738.2604
736,739.12274
737,739.9983
738,740.8947
739,741.7592
740,742.63196
741,743.5038
742,744.3859
743,745.2615
744,746.1269
745,747.0076
746,747.8782
747,748.7423
748,749.6184
749,750.4875
750,751.3643
751,752.25305
752,753.1284
753,754.0082
754,754.87646
755,755.734
756,756.5847
757,757.399
758,758.2332
759,759.06665
760,759.8942
761,760.71857
762,761.55206
763,762.38745
764,763.215
765,764.0479
766,764.86456
767,765.6778
768,766.4859
769,767.31525
770,768.13684
771,768.96405
772,769.77435
773,770.59796
774,771.41846
775,772.24567
776,773.0636
777,773.86664
778,774.675
779,775.4927
780,776.32007
781,777.1477
782,777.9804
783,778.80743
784,779.65027
785,780.5136
786,781.3918
787,782.27997
788,783.18414
789,784.06537
790,784.9446
791,785.8295
792,786.6999
793,787.5888
794,788.49384
795,789.3841
796,790.2546
797,791.1153
798,791.9768
799,792.863
800,793.71545
801,794.57196
802,795.4535
803,796.3272
804,797.18585
805,798.042
806,798.8854
807,799.7476
808,800.6227
809,801.49615
810,802.35834
811,803.2122
812,804.073
813,804.94867
814,805.82947
815,806.70917
816,807.5666
817,808.4178
818,809.2632
819,810.094
820,810.94305
821,811.8067
822,812.6948
823,813.5894
824,814.4893
825,815.37744
826,816.2684
827,817.1544
828,818.01697
829,818.878
830,819.7379
831,820.6029
832,821.45844
833,822.316
834,823.1775
835,824.0395
836,824.8907
837,825.75024
838,826.59705
839,827.4384
840,828.2563
841,829.0754
842,829.87396
843,830.6622
844,831.47015
845,832.2883
846,833.08575
847,833.8957
848,834.7007
849,835.50006
850,836.3133
851,837.1371
852,837.96124
853,838.7928
854,839.62866
855,840.485
856,841.34766
857,842.2187
858,843.1111
859,844.0525
860,845.01294
861,845.9702
862,846.93304
863,847.8675
864,848.8072
865,849.76245
866,850.72736
867,851.68774
868,852.66626
869,853.6624
870,854.6466
871,855.6469
872,856.63586
873,857.62506
874,858.64026
875,859.6355
876,860.6509
877,861.6675
878,862.6709
879,863.691
880,864.7225
881,865.74585
882,866.7726
883,867.8093
884,868.84546
885,869.88586
886,870.9366
887,871.9732
888,873.0049
889,874.026
890,875.02155
891,875.9979
892,876.9643
893,877.9137
894,878.8776
895,879.85034
896,880.84204
897,881.8376
898,882.8217
899,883.7732
900,884.75903
901,885.77246
902,886.79584
903,887.81445
904,888.8563
905,889.8943
906,890.91003
907,891.94116
908,892.9703
909,894.0154
910,895.0566
911,896.08575
912,897.1189
913,898.1583
914,899.1784
915,900.2196
916,901.27246
917,902.32556
918,903.3499
919,904.371
920,905.4153
921,906.50183
