t,msd
0,0.0
1,2.346451
2,4.3205514
3,5.9037776
4,7.33715
5,8.694808
6,10.021267
7,11.36489
8,12.684603
9,14.0209465
10,15.332601
11,16.612202
12,17.901108
13,19.197495
14,20.487438
15,21.766684
16,23.054888
17,24.35115
18,25.6233
19,26.877354
20,28.11002
21,29.361261
22,30.64723
23,31.916958
24,33.158283
25,34.41423
26,35.68675
27,36.95992
28,38.22012
29,39.459717
30,40.692947
31,41.94593
32,43.14895
33,44.33896
34,45.569527
35,46.79158
36,47.998554
37,49.19204
38,50.382935
39,51.593052
40,52.804306
41,54.01339
42,55.20316
43,56.42446
44,57.68984
45,58.93193
46,60.199398
47,61.43258
48,62.659626
49,63.89033
50,65.11148
51,66.33259
52,67.575905
53,68.83029
54,70.0699
55,71.30435
56,72.541954
57,73.729965
58,74.884514
59,76.06343
60,77.232796
61,78.36408
62,79.52228
63,80.69764
64,81.87912
65,83.0767
66,84.2645
67,85.469986
68,86.684586
69,87.88973
70,89.0705
71,90.248856
72,91.408165
73,92.58955
74,93.78283
75,94.96053
76,96.12991
77,97.31847
78,98.46457
79,99.61886
80,100.795425
81,101.969444
82,103.17841
83,104.38595
84,105.580025
85,106.76516
86,107.98033
87,109.17114
88,110.38922
89,111.595276
90,112.79215
91,114.00076
92,115.21705
93,116.450905
94,117.66397
95,118.88222
96,120.1265
97,121.367775
98,122.61692
99,123.848755
100,125.08262
101,126.31044
102,127.542564
103,128.80669
104,130.06386
105,131.30371
106,132.52551
107,133.73344
108,134.97737
109,136.19559
110,137.3952
111,138.59476
112,139.83612
113,141.04935
114,142.25238
115,143.45892
116,144.72264
117,145.98108
118,147.21068
119,148.40701
120,149.6447
121,150.88869
122,152.13666
123,153.35738
124,154.55563
125,155.69946
126,156.84789
127,157.97217
128,159.11728
129,160.25986
130,161.41978
131,162.58441
132,163.72969
133,164.86104
134,165.99313
135,167.17693
136,168.36008
137,169.50056
138,170.64293
139,171.79382
140,172.97565
141,174.1622
142,175.3932
143,176.60391
144,177.78343
145,178.90382
146,180.03455
147,181.19357
148,182.36073
149,183.5397
150,184.69206
151,185.82443
152,186.9576
153,188.11658
154,189.25404
155,190.385
156,191.50719
157,192.65904
158,193.81474
159,194.96432
160,196.11948
161,197.29553
162,198.47223
163,199.6418
164,200.79027
165,201.90642
166,203.04533
167,204.23903
168,205.40979
169,206.58511
170,207.74493
171,208.89743
172,210.04976
173,211.21976
174,212.35826
175,213.50652
176,214.6574
177,215.87158
178,217.11592
179,218.37842
180,219.63246
181,220.87053
182,222.1282
183,223.38301
184,224.64195
185,225.86768
186,227.11212
187,228.36847
188,229.64973
189,230.9832
190,232.28027
191,233.57742
192,234.88206
193,236.18715
194,237.52853
195,238.84691
196,240.1075
197,241.35435
198,242.58122
199,243.83162
200,245.0928
201,246.35959
202,247.60864
203,248.88074
204,250.14565
205,251.45192
206,252.75143
207,254.05829
208,255.35378
209,256.6654
210,257.99368
211,259.33374
212,260.63266
213,261.90445
214,263.17386
215,264.4873
216,265.81732
217,267.16522
218,268.52618
219,269.88782
220,271.2278
221,272.56168
222,273.90857
223,275.20755
224,276.5177
225,277.81625
226,279.10428
227,280.42722
228,281.79123
229,283.1437
230,284.49576
231,285.86993
232,287.212
233,288.55765
234,289.85812
235,291.18274
236,292.54218
237,293.89688
238,295.21292
239,296.55853
240,297.9075
241,299.2535
242,300.56714
243,301.87
244,303.1596
245,304.46506
246,305.76917
247,307.08936
248,308.43533
249,309.79178
250,311.09912
251,312.39432
252,313.69046
253,315.0132
254,316.31442
255,317.57825
256,318.81802
257,320.06516
258,321.33987
259,322.58597
260,323.87408
261,325.1555
262,326.44876
263,327.69208
264,328.9418
265,330.17496
266,331.4286
267,332.68173
268,333.9458
269,335.23575
270,336.4981
271,337.74838
272,339.0331
273,340.32486
274,341.60403
275,342.89273
276,344.16907
277,345.4348
278,346.6878
279,347.96817
280,349.2636
281,350.54785
282,351.83792
283,353.1043
284,354.3851
285,355.6375
286,356.88394
287,358.15134
288,359.41562
289,360.6683
290,361.9581
291,363.26028
292,364.5374
293,365.80685
294,367.11536
295,368.39093
296,369.6528
297,370.9221
298,372.19904
299,373.50095
300,374.8148
301,376.119
302,377.42554
303,378.7245
304,380.04514
305,381.3349
306,382.5806
307,383.8314
308,385.09952
309,386.3202
310,387.5087
311,388.7179
312,389.94904
313,391.1372
314,392.32574
315,393.49173
316,394.70618
317,395.91174
318,397.13046
319,398.35602
320,399.59732
321,400.8524
322,402.09766
323,403.34692
324,404.57077
325,405.78748
326,407.01767
327,408.28342
328,409.5632
329,410.8407
330,412.15427
331,413.45346
332,414.7391
333,416.01553
334,417.30347
335,418.617
336,419.9556
337,421.2647
338,422.59235
339,423.9364
340,425.2502
341,426.65994
342,428.05966
343,429.45798
344,430.84576
345,432.24243
346,433.62143
347,434.98773
348,436.36865
349,437.74026
350,439.0966
351,440.43802
352,441.78717
353,443.11078
354,444.42035
355,445.75177
356,447.10712
357,448.46622
358,449.82516
359,451.15012
360,452.49365
361,453.8359
362,455.1857
363,456.53784
364,457.8946
365,459.26974
366,460.62927
367,462.0042
368,463.36472
369,464.71707
370,466.03214
371,467.3692
372,468.67676
373,469.9785
374,471.28946
375,472.61908
376,473.94318
377,475.2061
378,476.48218
379,477.77698
380,479.07736
381,480.39404
382,481.7287
383,483.05817
384,484.40198
385,485.71848
386,487.00735
387,488.28955
388,489.61295
389,490.97702
390,492.30246
391,493.58517
392,494.85693
393,496.12854
394,497.42233
395,498.70172
396,499.97488
397,501.25885
398,502.52908
399,503.80145
400,505.0788
401,506.3275
402,507.57767
403,508.83298
404,510.0912
405,511.38043
406,512.6957
407,513.9605
408,515.26086
409,516.53754
410,517.82
411,519.1131
412,520.3792
413,521.6585
414,522.9193
415,524.15485
416,525.44006
417,526.70135
418,527.95483
419,529.2181
420,530.5137
421,531.8013
422,533.05975
423,534.3559
424,535.62506
425,536.90344
426,538.18823
427,539.48016
428,540.7655
429,542.0586
430,543.3419
431,544.61163
432,545.84515
433,547.0941
434,548.3506
435,549.58636
436,550.7983
437,551.98236
438,553.1984
439,554.4234
440,555.63354
441,556.81287
442,557.9986
443,559.1388
444,560.2728
445,561.421
446,562.5253
447,563.58875
448,564.62805
449,565.6587
450,566.7187
451,567.77844
452,568.85693
453,569.9593
454,571.07477
455,572.17615
456,573.25415
457,574.3501
458,575.4431
459,576.5103
460,577.6162
461,578.75726
462,579.9145
463,581.1066
464,582.30676
465,583.47125
466,584.6525
467,585.813
468,587.0171
469,588.2239
470,589.43854
471,590.6231
472,591.77026
473,592.933
474,594.0998
475,595.2777
476,596.47034
477,597.62317
478,598.74384
479,599.8852
480,601.0192
481,602.1515
482,603.2874
483,604.37585
484,605.46906
485,606.602
486,607.706
487,608.8235
488,609.92804
489,611.0072
490,612.07623
491,613.13605
492,614.2587
493,615.32526
494,616.40546
495,617.49225
496,618.5979
497,619.7197
498,620.8841
499,622.03546
500,623.2098
501,624.37
502,625.5071
503,626.6321
504,627.75525
505,628.88654
506,630.0448
507,631.21375
508,632.37585
509,633.54565
510,634.7289
511,635.93085
512,637.1494
513,638.36865
514,639.5827
515,640.8065
516,642.0233
517,643.2477
518,644.4762
519,645.7302
520,646.9878
521,648.274
522,649.5666
523,650.8516
524,652.1517
525,653.4861
526,654.80853
527,656.0921
528,657.36914
529,658.6159
530,659.89636
531,661.2038
532,662.4578
533,663.7036
534,664.9458
535,666.21295
536,667.511
537,668.767
538,669.97546
539,671.2574
540,672.53796
541,673.8252
542,675.1126
543,676.38464
544,677.6372
545,678.886
546,680.1456
547,681.4245
548,682.7107
549,683.9798
550,685.2235
551,686.458
552,687.70483
553,688.95624
554,690.21014
555,691.473
556,692.7053
557,693.9405
558,695.1871
559,696.4578
560,697.6903
561,698.9434
562,700.19257
563,701.4618
564,702.6933
565,703.91614
566,705.08514
567,706.22327
568,707.3903
569,708.5769
570,709.77893
571,711.0051
572,712.257
573,713.46594
574,714.68286
575,715.9336
576,717.17786
577,718.4057
578,719.64557
579,720.898
580,722.1402
581,723.3933
582,724.65094
583,725.92847
584,727.1382
585,728.35126
