,t,msd
0,0.0,0.0
1,0.1,0.96642005
2,0.2,1.4954449
3,0.3,1.8048183
4,0.4,2.0752337
5,0.5,2.3105803
6,0.6,2.5109353
7,0.7,2.6816714
8,0.8,2.8614843
9,0.9,3.0223677
10,1.0,3.1696234
11,1.1,3.3186097
12,1.2,3.4609725
13,1.3,3.6048913
14,1.4,3.720866
15,1.5,3.8378859
16,1.6,3.9600873
17,1.7,4.07657
18,1.8,4.186854
19,1.9,4.3105354
20,2.0,4.4344196
21,2.1,4.5460906
22,2.2,4.6542788
23,2.3,4.7659965
24,2.4,4.8560963
25,2.5,4.9624743
26,2.6,5.070454
27,2.7,5.17928
28,2.8,5.2821307
29,2.9,5.376485
30,3.0,5.471462
31,3.1,5.5496755
32,3.2,5.6363974
33,3.3,5.736191
34,3.4,5.8373303
35,3.5,5.934572
36,3.6,6.0204945
37,3.7,6.1177683
38,3.8,6.2035527
39,3.9,6.293448
40,4.0,6.3780227
41,4.1,6.4641237
42,4.2,6.555404
43,4.3,6.6390142
44,4.4,6.732121
45,4.5,6.8120823
46,4.6,6.8930845
47,4.7,6.972008
48,4.8,7.0499654
49,4.9,7.128788
50,5.0,7.205575
51,5.1,7.2876697
52,5.2,7.37175
53,5.3,7.449133
54,5.4,7.516917
55,5.5,7.5787687
56,5.6,7.654281
57,5.7,7.726335
58,5.8,7.7926884
59,5.9,7.8562145
60,6.0,7.9277134
61,6.1,8.012618
62,6.2,8.091349
63,6.3,8.162313
64,6.4,8.226816
65,6.5,8.290378
66,6.6,8.3543825
67,6.7,8.408358
68,6.8,8.470118
69,6.9,8.5310335
70,7.0,8.600768
71,7.1,8.669708
72,7.2,8.723484
73,7.3,8.78543
74,7.4,8.845364
75,7.5,8.881657
76,7.6,8.937872
77,7.7,9.002869
78,7.8,9.057966
79,7.9,9.116255
80,8.0,9.161944
81,8.1,9.211768
82,8.2,9.275518
83,8.3,9.329986
84,8.4,9.366691
85,8.5,9.408028
86,8.6,9.4577055
87,8.7,9.519376
88,8.8,9.589791
89,8.9,9.648968
90,9.0,9.70478
91,9.1,9.764585
92,9.2,9.812048
93,9.3,9.859982
94,9.4,9.914626
95,9.5,9.967261
96,9.6,10.018752
97,9.7,10.06146
98,9.8,10.120149
99,9.9,10.160812
100,10.0,10.203874
101,10.1,10.248233
102,10.2,10.311009
103,10.3,10.361934
104,10.4,10.407929
105,10.5,10.457603
106,10.6,10.516285
107,10.7,10.5677805
108,10.8,10.621107
109,10.9,10.6875305
110,11.0,10.738346
111,11.1,10.778232
112,11.2,10.82222
113,11.3,10.877084
114,11.4,10.921215
115,11.5,10.95709
116,11.6,10.979729
117,11.7,11.006183
118,11.8,11.045816
119,11.9,11.084226
120,12.0,11.121485
121,12.1,11.153357
122,12.2,11.192601
123,12.3,11.230937
124,12.4,11.269719
125,12.5,11.326826
126,12.6,11.379885
127,12.7,11.424431
128,12.8,11.478553
129,12.9,11.524277
130,13.0,11.569818
131,13.1,11.617503
132,13.2,11.658579
133,13.3,11.688647
134,13.4,11.729426
135,13.5,11.773013
136,13.6,11.806945
137,13.7,11.832681
138,13.8,11.860272
139,13.9,11.8899765
140,14.0,11.929546
141,14.1,11.962637
142,14.2,11.984227
143,14.3,12.015285
144,14.4,12.054832
145,14.5,12.091401
146,14.6,12.122256
147,14.7,12.147738
148,14.8,12.18572
149,14.9,12.218104
150,15.0,12.258108
151,15.1,12.29073
152,15.2,12.320518
153,15.3,12.362336
154,15.4,12.394783
155,15.5,12.423168
156,15.6,12.453072
157,15.7,12.48512
158,15.8,12.526325
159,15.9,12.559474
160,16.0,12.595744
161,16.1,12.630282
162,16.2,12.666295
163,16.3,12.708606
164,16.4,12.731672
165,16.5,12.761965
166,16.6,12.796409
167,16.7,12.827258
168,16.8,12.859775
169,16.9,12.890311
170,17.0,12.920581
171,17.1,12.950197
172,17.2,12.985409
173,17.3,13.036236
174,17.4,13.064862
175,17.5,13.082457
176,17.6,13.104554
177,17.7,13.123485
178,17.8,13.146645
179,17.9,13.180122
180,18.0,13.230508
181,18.1,13.276134
182,18.2,13.312369
183,18.3,13.341274
184,18.4,13.366452
185,18.5,13.390408
186,18.6,13.421154
187,18.7,13.45218
188,18.8,13.48421
189,18.9,13.5286455
190,19.0,13.585702
191,19.1,13.6222
192,19.2,13.669298
193,19.3,13.727702
194,19.4,13.766688
195,19.5,13.799547
196,19.6,13.833269
197,19.7,13.870845
198,19.8,13.91669
199,19.9,13.967849
200,20.0,14.017174
201,20.1,14.062426
202,20.2,14.102538
203,20.3,14.140264
204,20.4,14.181655
205,20.5,14.2257
206,20.6,14.284982
207,20.7,14.322623
208,20.8,14.360294
209,20.9,14.397677
210,21.0,14.437829
211,21.1,14.470622
212,21.2,14.498194
213,21.3,14.530099
214,21.4,14.557541
215,21.5,14.57835
216,21.6,14.598152
217,21.7,14.631838
218,21.8,14.667327
219,21.9,14.707979
220,22.0,14.742164
221,22.1,14.78026
222,22.2,14.811688
223,22.3,14.8400755
224,22.4,14.871535
225,22.5,14.891514
226,22.6,14.906207
227,22.7,14.936723
228,22.8,14.978373
229,22.9,15.018275
230,23.0,15.052921
231,23.1,15.073289
232,23.2,15.102808
233,23.3,15.134881
234,23.4,15.184262
235,23.5,15.234687
236,23.6,15.2690115
237,23.7,15.326103
238,23.8,15.378609
239,23.9,15.44612
240,24.0,15.488375
241,24.1,15.5163965
242,24.2,15.561268
243,24.3,15.604931
244,24.4,15.649258
245,24.5,15.693473
246,24.6,15.74836
247,24.7,15.7899885
248,24.8,15.820147
249,24.9,15.853315
250,25.0,15.897849
251,25.1,15.937987
252,25.2,15.97356
253,25.3,16.014723
254,25.4,16.055958
255,25.5,16.100883
256,25.6,16.146357
257,25.7,16.183605
258,25.8,16.227934
259,25.9,16.2718
260,26.0,16.303408
261,26.1,16.333494
262,26.2,16.367964
263,26.3,16.40664
264,26.4,16.45704
265,26.5,16.49441
266,26.6,16.539476
267,26.7,16.590221
268,26.8,16.620243
269,26.9,16.64819
270,27.0,16.670603
271,27.1,16.714136
272,27.2,16.745367
273,27.3,16.785019
274,27.4,16.811626
275,27.5,16.85887
276,27.6,16.901455
277,27.7,16.930098
278,27.8,16.962141
279,27.9,17.006948
280,28.0,17.039017
281,28.1,17.06161
282,28.2,17.10139
283,28.3,17.132244
284,28.4,17.15675
285,28.5,17.186825
286,28.6,17.21886
287,28.7,17.247583
288,28.8,17.281065
289,28.9,17.322905
290,29.0,17.355375
291,29.1,17.39098
292,29.2,17.439472
293,29.3,17.487848
294,29.4,17.535126
295,29.5,17.603624
296,29.6,17.675165
297,29.7,17.729055
298,29.8,17.788116
299,29.9,17.84459
300,30.0,17.88902
301,30.1,17.929926
302,30.2,17.955263
303,30.3,17.977154
304,30.4,18.015919
305,30.5,18.060108
306,30.6,18.099363
307,30.7,18.132133
308,30.8,18.1663
309,30.9,18.195974
310,31.0,18.233458
311,31.1,18.281618
312,31.2,18.324493
313,31.3,18.364317
314,31.4,18.385975
315,31.5,18.42146
316,31.6,18.448479
317,31.7,18.472582
318,31.8,18.506819
319,31.9,18.540169
320,32.0,18.559732
321,32.1,18.585463
322,32.2,18.608597
323,32.3,18.641562
324,32.4,18.66595
325,32.5,18.695644
326,32.6,18.720154
327,32.7,18.748955
328,32.8,18.773312
329,32.9,18.792488
330,33.0,18.801765
331,33.1,18.82189
332,33.2,18.840622
333,33.3,18.850023
334,33.4,18.867659
335,33.5,18.884314
336,33.6,18.907791
337,33.7,18.928755
338,33.8,18.951221
339,33.9,18.985666
340,34.0,19.013239
341,34.1,19.03184
342,34.2,19.05521
343,34.3,19.07342
344,34.4,19.08907
345,34.5,19.11108
346,34.6,19.15235
347,34.7,19.183867
348,34.8,19.219297
349,34.9,19.252695
350,35.0,19.289478
351,35.1,19.33577
352,35.2,19.371325
353,35.3,19.402332
354,35.4,19.436592
355,35.5,19.47702
356,35.6,19.520542
357,35.7,19.559507
358,35.8,19.594578
359,35.9,19.61745
360,36.0,19.646553
361,36.1,19.674892
362,36.2,19.700977
363,36.3,19.725313
364,36.4,19.747486
365,36.5,19.76927
366,36.6,19.793402
367,36.7,19.825943
368,36.8,19.870369
369,36.9,19.911064
370,37.0,19.952438
371,37.1,19.98712
372,37.2,20.010408
373,37.3,20.035309
374,37.4,20.063438
375,37.5,20.093357
376,37.6,20.124666
377,37.7,20.145548
378,37.8,20.15148
379,37.9,20.172258
380,38.0,20.19442
381,38.1,20.222956
382,38.2,20.263824
383,38.3,20.306479
384,38.4,20.346457
385,38.5,20.389357
386,38.6,20.441916
387,38.7,20.498528
388,38.8,20.560026
389,38.9,20.597675
390,39.0,20.624126
391,39.1,20.652971
392,39.2,20.695068
393,39.3,20.740692
394,39.4,20.791693
395,39.5,20.837097
396,39.6,20.876911
397,39.7,20.89843
398,39.8,20.925764
399,39.9,20.963713
400,40.0,21.003004
401,40.1,21.032417
402,40.2,21.03863
403,40.3,21.06423
404,40.4,21.100452
405,40.5,21.129723
406,40.6,21.173977
407,40.7,21.214495
408,40.8,21.245953
409,40.9,21.278519
410,41.0,21.31325
411,41.1,21.33091
412,41.2,21.364952
413,41.3,21.405846
414,41.4,21.43183
415,41.5,21.457859
416,41.6,21.486773
417,41.7,21.522652
418,41.8,21.55528
419,41.9,21.582518
420,42.0,21.62215
421,42.1,21.653412
422,42.2,21.692944
423,42.3,21.723183
424,42.4,21.758556
425,42.5,21.778347
426,42.6,21.80761
427,42.7,21.825455
428,42.8,21.84644
429,42.9,21.872496
430,43.0,21.896235
431,43.1,21.92874
432,43.2,21.940172
433,43.3,21.961819
434,43.4,21.981546
435,43.5,22.015596
436,43.6,22.03895
437,43.7,22.076231
438,43.8,22.090355
439,43.9,22.10167
440,44.0,22.122942
441,44.1,22.155594
442,44.2,22.198063
443,44.3,22.233831
444,44.4,22.25309
445,44.5,22.279314
446,44.6,22.303507
447,44.7,22.327438
448,44.8,22.361279
449,44.9,22.39012
450,45.0,22.431622
451,45.1,22.472708
452,45.2,22.504381
453,45.3,22.520771
454,45.4,22.544456
455,45.5,22.58358
456,45.6,22.612436
457,45.7,22.63615
458,45.8,22.668196
459,45.9,22.695478
460,46.0,22.727285
461,46.1,22.755037
462,46.2,22.772793
463,46.3,22.801493
464,46.4,22.830484
465,46.5,22.849924
466,46.6,22.87802
467,46.7,22.900288
468,46.8,22.92338
469,46.9,22.927122
470,47.0,22.939594
471,47.1,22.964258
472,47.2,22.98933
473,47.3,22.99801
474,47.4,23.015505
475,47.5,23.01719
476,47.6,23.02407
477,47.7,23.037329
478,47.8,23.052967
479,47.9,23.05405
480,48.0,23.069576
481,48.1,23.08638
482,48.2,23.091547
483,48.3,23.104248
484,48.4,23.10961
485,48.5,23.11701
486,48.6,23.150667
487,48.7,23.174715
488,48.8,23.197533
489,48.9,23.215899
490,49.0,23.243505
491,49.1,23.25973
492,49.2,23.279068
493,49.3,23.303976
494,49.4,23.308706
495,49.5,23.324917
496,49.6,23.336567
497,49.7,23.353752
498,49.8,23.372574
499,49.9,23.402054
500,50.0,23.429667
501,50.1,23.456444
502,50.2,23.47627
503,50.3,23.502804
504,50.4,23.528631
505,50.5,23.542181
506,50.6,23.548298
507,50.7,23.567238
508,50.8,23.594816
509,50.9,23.600224
510,51.0,23.613976
511,51.1,23.63539
512,51.2,23.64789
513,51.3,23.671608
514,51.4,23.69028
515,51.5,23.716753
516,51.6,23.735006
517,51.7,23.759703
518,51.8,23.783806
519,51.9,23.81288
520,52.0,23.833277
521,52.1,23.842743
522,52.2,23.859818
