,r,rdf
0,0.03,0.0
1,0.09,0.0
2,0.15,0.0
3,0.21,0.0
4,0.27,0.0
5,0.32999999999999996,0.0
6,0.39,0.0
7,0.44999999999999996,0.0
8,0.51,0.0
9,0.5700000000000001,0.0
10,0.6299999999999999,0.0
11,0.69,0.0
12,0.75,0.0
13,0.81,0.0
14,0.8699999999999999,0.0
15,0.9299999999999999,0.0
16,0.99,0.0
17,1.05,0.0
18,1.1099999999999999,0.0
19,1.17,0.0
20,1.23,0.0
21,1.29,0.0
22,1.3499999999999999,0.0
23,1.41,0.0
24,1.47,0.0
25,1.53,0.0
26,1.5899999999999999,0.0
27,1.65,0.0
28,1.71,0.0
29,1.77,0.0
30,1.8299999999999998,0.0
31,1.89,0.0
32,1.95,0.0
33,2.01,0.0
34,2.0700000000000003,0.0
35,2.13,0.0003533133842955173
36,2.19,0.010360824389958017
37,2.25,0.0645932905495035
38,2.3099999999999996,0.27426501645997164
39,2.37,0.7031837557010475
40,2.4299999999999997,1.1140912266432885
41,2.49,1.1262016951091525
42,2.55,0.7982234101674005
43,2.61,0.4110936589429831
44,2.67,0.2169874060445384
45,2.7299999999999995,0.11098261141636055
46,2.79,0.06322098306590956
47,2.8499999999999996,0.045391035364885514
48,2.91,0.02953053044343645
49,2.9699999999999998,0.029076379399185923
50,3.0300000000000002,0.030206100868081752
51,3.09,0.03391320058015746
52,3.15,0.03861105569465528
53,3.21,0.05304930312720178
54,3.2699999999999996,0.06446274263148674
55,3.33,0.07921881749807402
56,3.3899999999999997,0.08006619171517755
57,3.45,0.06114412434052755
58,3.51,0.04892277127340294
59,3.57,0.05056236872428061
60,3.63,0.06021851957750377
61,3.6899999999999995,0.07075549674088608
62,3.75,0.1023652495611546
63,3.8099999999999996,0.16089725626792667
64,3.87,0.2528117630015565
65,3.9299999999999997,0.3991753885912599
66,3.9899999999999998,0.5810922888105288
67,4.05,0.7897599940418809
68,4.109999999999999,1.0541260055470079
69,4.17,1.3029672433721364
70,4.23,1.6149510518369714
71,4.29,1.894199440715007
72,4.35,2.135761169934963
73,4.41,2.353673943755172
74,4.47,2.5262220590234725
75,4.529999999999999,2.6580072294183306
76,4.59,2.6977018373290726
77,4.65,2.6552232201651136
78,4.71,2.5964604813738617
79,4.77,2.5243660868490805
80,4.83,2.3914007965308017
81,4.89,2.282529780911059
82,4.949999999999999,2.1723799338576364
83,5.01,2.0822758162222033
84,5.07,1.990876535727831
85,5.13,1.8824481696084887
86,5.1899999999999995,1.7472880706012828
87,5.25,1.5757299015123336
88,5.31,1.3648161472506337
89,5.369999999999999,1.1766131979047154
90,5.43,0.9909668549530316
91,5.49,0.8164082437165195
92,5.55,0.6676006770206023
93,5.609999999999999,0.5757716799353888
94,5.67,0.5119427591773734
95,5.73,0.47852561517910125
96,5.789999999999999,0.45837869517560015
97,5.85,0.4614374014592479
98,5.91,0.46877579043192796
99,5.97,0.48674693441173533
