,r,rdf
0,0.03,0.0
1,0.09,0.0
2,0.15,0.0
3,0.21,0.0
4,0.27,0.0
5,0.32999999999999996,0.0
6,0.39,0.0
7,0.44999999999999996,0.0
8,0.51,0.0
9,0.5700000000000001,0.0
10,0.6299999999999999,0.0
11,0.69,0.0
12,0.75,0.0
13,0.81,0.0
14,0.8699999999999999,0.0
15,0.9299999999999999,0.0
16,0.99,0.0
17,1.05,0.0
18,1.1099999999999999,0.0
19,1.17,0.0
20,1.23,0.0
21,1.29,0.0
22,1.3499999999999999,0.0
23,1.41,0.0
24,1.47,0.0
25,1.53,0.0
26,1.5899999999999999,0.0
27,1.65,0.0
28,1.71,0.0
29,1.77,0.0
30,1.8299999999999998,0.0
31,1.89,0.0
32,1.95,0.0
33,2.01,0.0
34,2.0700000000000003,0.0
35,2.13,0.0
36,2.19,3.565345018214525e-05
37,2.25,0.001384873300663514
38,2.3099999999999996,0.019708051907463598
39,2.37,0.14810847648774444
40,2.4299999999999997,0.6122494654079218
41,2.49,1.5589426447702628
42,2.55,2.6568492495650036
43,2.61,3.4205658089259257
44,2.67,3.5192545170952974
45,2.7299999999999995,3.1752111779480354
46,2.79,2.634432373203974
47,2.8499999999999996,2.0482331955058126
48,2.91,1.5853053002518822
49,2.9699999999999998,1.2305294100116522
50,3.0300000000000002,0.9680630665021442
51,3.09,0.7942378849119834
52,3.15,0.6767566954655975
53,3.21,0.6096245806971811
54,3.2699999999999996,0.5800225107923772
55,3.33,0.5600961413840697
56,3.3899999999999997,0.572452819900107
57,3.45,0.5907159238817642
58,3.51,0.6056020212850861
59,3.57,0.6345385081591166
60,3.63,0.6588070077215985
61,3.6899999999999995,0.6735008662159886
62,3.75,0.6857693281234579
63,3.8099999999999996,0.6849446325617924
64,3.87,0.68907041237195
65,3.9299999999999997,0.6767165009638249
66,3.9899999999999998,0.6740905460740145
67,4.05,0.6784113773560126
68,4.109999999999999,0.6880254954502172
69,4.17,0.690525347513926
70,4.23,0.7337033153927789
71,4.29,0.7770650753612072
72,4.35,0.8324029780189197
73,4.41,0.9061366953463095
74,4.47,0.9893659993118051
75,4.529999999999999,1.0740470812118446
76,4.59,1.1487884110260087
77,4.65,1.2226294452833983
78,4.71,1.272232187835316
79,4.77,1.2977284218951597
80,4.83,1.3262643452722658
81,4.89,1.3634730097834373
82,4.949999999999999,1.3997690602096264
83,5.01,1.4337413113579527
84,5.07,1.4558236963935576
85,5.13,1.453048635172782
86,5.1899999999999995,1.4317534709571595
87,5.25,1.3824758024831556
88,5.31,1.3166402090202003
89,5.369999999999999,1.2475145230530085
90,5.43,1.1790641653905691
91,5.49,1.1091442931807591
92,5.55,1.039740877576811
93,5.609999999999999,0.9748028628642427
94,5.67,0.9201055666048716
95,5.73,0.8843538779703979
96,5.789999999999999,0.8570661421583183
97,5.85,0.8473108244462266
98,5.91,0.8485343053711548
99,5.97,0.853927895001513
