,r,rdf
0,0.03,0.0
1,0.09,0.0
2,0.15,0.0
3,0.21,0.0
4,0.27,0.0
5,0.32999999999999996,0.0
6,0.39,0.0
7,0.44999999999999996,0.0
8,0.51,0.0
9,0.5700000000000001,0.0
10,0.6299999999999999,0.0
11,0.69,0.0
12,0.75,0.0
13,0.81,0.0
14,0.8699999999999999,0.0
15,0.9299999999999999,0.0
16,0.99,0.0
17,1.05,0.0
18,1.1099999999999999,0.0
19,1.17,0.0
20,1.23,0.0
21,1.29,0.0
22,1.3499999999999999,0.0
23,1.41,0.0
24,1.47,0.0
25,1.53,0.0
26,1.5899999999999999,0.0
27,1.65,0.0
28,1.71,0.0
29,1.77,0.0
30,1.8299999999999998,0.0
31,1.89,0.0
32,1.95,0.0
33,2.01,0.0
34,2.0700000000000003,0.0
35,2.13,3.974626515172946e-05
36,2.19,0.002443893133603919
37,2.25,0.04993918966846216
38,2.3099999999999996,0.2965735992929022
39,2.37,0.8854389521677074
40,2.4299999999999997,1.6434367048993197
41,2.49,2.381164129758554
42,2.55,3.0515647762524027
43,2.61,3.529675562350417
44,2.67,3.849293736175377
45,2.7299999999999995,3.912304889761101
46,2.79,3.707092057771091
47,2.8499999999999996,3.201339269133516
48,2.91,2.5391612617881756
49,2.9699999999999998,1.8505308413404393
50,3.0300000000000002,1.2691062568477025
51,3.09,0.837790423695829
52,3.15,0.5531432108118957
53,3.21,0.374677765970048
54,3.2699999999999996,0.2750956809250461
55,3.33,0.21877776168498964
56,3.3899999999999997,0.20068277731871093
57,3.45,0.2113685904570269
58,3.51,0.25716181579782105
59,3.57,0.3467307035439776
60,3.63,0.5025594427827832
61,3.6899999999999995,0.7537738338460364
62,3.75,1.110632705561802
63,3.8099999999999996,1.4985203618648735
64,3.87,1.7299911983961012
65,3.9299999999999997,1.6392626373200445
66,3.9899999999999998,1.2879594713751956
67,4.05,0.8620384462990315
68,4.109999999999999,0.559252753188023
69,4.17,0.4527915618402909
70,4.23,0.5079366318216699
71,4.29,0.5851508492582224
72,4.35,0.6649362682732871
73,4.41,0.7302153080410866
74,4.47,0.7827751602779953
75,4.529999999999999,0.828112084071981
76,4.59,0.8582524384756582
77,4.65,0.8743198363725265
78,4.71,0.8870028162291013
79,4.77,0.9024446456765132
80,4.83,0.9234516972629484
81,4.89,0.9543615546587731
82,4.949999999999999,0.9964270265912903
83,5.01,1.0425381825961377
84,5.07,1.0863337008870733
85,5.13,1.140045526907583
86,5.1899999999999995,1.1584469318200035
87,5.25,1.1694069215292684
88,5.31,1.1442740695881857
89,5.369999999999999,1.0999421361175883
90,5.43,1.0379461180317449
91,5.49,0.9769587080337172
92,5.55,0.9173505662755514
93,5.609999999999999,0.8748559257744761
94,5.67,0.8478338203541625
95,5.73,0.843139082821855
96,5.789999999999999,0.8545559985068124
97,5.85,0.8742824153500471
98,5.91,0.902179423148849
99,5.97,0.9345015267522089
