,r,gofr
0,0.03,-0.022813883761117273
1,0.09,-0.06844165128335182
2,0.15,-0.11406941880558637
3,0.21,-0.1596971863278209
4,0.27,-0.20532495385005547
5,0.32999999999999996,-0.25095272137228997
6,0.39,-0.29658048889452454
7,0.44999999999999996,-0.34220825641675906
8,0.51,-0.38783602393899363
9,0.5700000000000001,-0.4334637914612282
10,0.6299999999999999,-0.4790915589834627
11,0.69,-0.5247193265056972
12,0.75,-0.5703470940279318
13,0.81,-0.6159748615501665
14,0.8699999999999999,-0.6616026290724009
15,0.9299999999999999,-0.7072303965946355
16,0.99,-0.75285816411687
17,1.05,-0.7984859316391045
18,1.1099999999999999,-0.844113699161339
19,1.17,-0.8897414666835736
20,1.23,-0.9353692342058082
21,1.29,-0.9809970017280428
22,1.3499999999999999,-1.0266247692502772
23,1.41,-1.0722525367725118
24,1.47,-1.1178803042947463
25,1.53,-1.163508071816981
26,1.5899999999999999,-1.2091358393392153
27,1.65,-1.25476360686145
28,1.71,-1.3003913743836846
29,1.77,-1.346019141905919
30,1.8299999999999998,-1.3916469094281536
31,1.89,-1.4372746769503881
32,1.95,-1.4829024444726226
33,2.01,-1.528530211994857
34,2.0700000000000003,-1.574157979517092
35,2.13,-1.6197857470393262
36,2.19,-1.6653557379658208
37,2.25,-1.7059103058852498
38,2.3099999999999996,-1.7073141608557565
39,2.37,-1.5490318032686026
40,2.4299999999999997,-1.1913651712592506
41,2.49,-0.7393345212711371
42,2.55,-0.45614541119355784
43,2.61,-0.2471694556660184
44,2.67,-0.09538142152401652
45,2.7299999999999995,-0.09843038493403397
46,2.79,-0.26660709026883406
47,2.8499999999999996,-0.6083192880274365
48,2.91,-1.0465111615607845
49,2.9699999999999998,-1.447968173848921
50,3.0300000000000002,-1.7749688655172218
51,3.09,-1.994652661994356
52,3.15,-2.138999460730006
53,3.21,-2.2149722241550647
54,3.2699999999999996,-2.2504653373404615
55,3.33,-2.278106446871673
56,3.3899999999999997,-2.3165495615241323
57,3.45,-2.399250428019633
58,3.51,-2.4861105151222396
59,3.57,-2.518224603200641
60,3.63,-2.513807410630656
61,3.6899999999999995,-2.452879518340488
62,3.75,-2.3119397292472064
63,3.8099999999999996,-2.1112479634824086
64,3.87,-1.894531265887934
65,3.9299999999999997,-1.7050741021589995
66,3.9899999999999998,-1.5581931298292093
67,4.05,-1.3658482067491118
68,4.109999999999999,-0.9212870745604783
69,4.17,-0.2645078837453722
70,4.23,0.6680950062251094
71,4.29,1.688386927936239
72,4.35,2.7436941058737045
73,4.41,3.779868055748225
74,4.47,4.605850033794868
75,4.529999999999999,5.271570466580973
76,4.59,5.749964284466166
77,4.65,5.8927231075880036
78,4.71,5.868024824081676
79,4.77,5.51113929445566
80,4.83,5.184710571193958
81,4.89,4.7995831493481065
82,4.949999999999999,4.59253092722705
83,5.01,4.296039906106315
84,5.07,3.9833804555405883
85,5.13,3.631091067725803
86,5.1899999999999995,3.1346968016640213
87,5.25,2.5023897192967066
88,5.31,1.919208120946199
89,5.369999999999999,1.2216135577199223
90,5.43,0.43522131775402895
91,5.49,-0.318567961287752
92,5.55,-0.9068563028951807
93,5.609999999999999,-1.4390936377826742
94,5.67,-1.8707497236295574
95,5.73,-2.170361375034025
96,5.789999999999999,-2.3604366479936747
97,5.85,-2.469476645125036
98,5.91,-2.5025903059257493
99,5.97,-2.4321989429035247
