,r,gofr
0,0.03,-0.024224681423693738
1,0.09,-0.07267404427108122
2,0.15,-0.1211234071184687
3,0.21,-0.16957276996585616
4,0.27,-0.21802213281324367
5,0.32999999999999996,-0.2664714956606311
6,0.39,-0.3149208585080186
7,0.44999999999999996,-0.36337022135540603
8,0.51,-0.4118195842027936
9,0.5700000000000001,-0.46026894705018107
10,0.6299999999999999,-0.5087183098975684
11,0.69,-0.5571676727449559
12,0.75,-0.6056170355923435
13,0.81,-0.654066398439731
14,0.8699999999999999,-0.7025157612871183
15,0.9299999999999999,-0.7509651241345059
16,0.99,-0.7994144869818934
17,1.05,-0.8478638498292809
18,1.1099999999999999,-0.8963132126766683
19,1.17,-0.9447625755240557
20,1.23,-0.9932119383714433
21,1.29,-1.0416613012188307
22,1.3499999999999999,-1.0901106640662181
23,1.41,-1.1385600269136056
24,1.47,-1.187009389760993
25,1.53,-1.2354587526083807
26,1.5899999999999999,-1.2839081154557679
27,1.65,-1.3323574783031555
28,1.71,-1.380806841150543
29,1.77,-1.4292562039979304
30,1.8299999999999998,-1.4777055668453178
31,1.89,-1.5261549296927053
32,1.95,-1.574604292540093
33,2.01,-1.6230536553874801
34,2.0700000000000003,-1.671503018234868
35,2.13,-1.7199523810822552
36,2.19,-1.7684017439296429
37,2.25,-1.816292508224723
38,2.3099999999999996,-1.8587094886541695
39,2.37,-1.8751295992994816
40,2.4299999999999997,-1.810095749733456
41,2.49,-1.6099766078876538
42,2.55,-1.2237820127075358
43,2.61,-0.6735845360862128
44,2.67,-0.08211816595875682
45,2.7299999999999995,0.3052106335415009
46,2.79,0.3561367309723701
47,2.8499999999999996,-0.0028303717127375764
48,2.91,-0.6311578421604745
49,2.9699999999999998,-1.2876427993454804
50,3.0300000000000002,-1.8330365663840846
51,3.09,-2.1747153231060965
52,3.15,-2.3799575134702136
53,3.21,-2.5001763057845015
54,3.2699999999999996,-2.5774064298403814
55,3.33,-2.6388594897712014
56,3.3899999999999997,-2.6928024883369317
57,3.45,-2.7448882307649853
58,3.51,-2.79399683105394
59,3.57,-2.841162737565504
60,3.63,-2.8839928778208344
61,3.6899999999999995,-2.919076208809636
62,3.75,-2.93317277237197
63,3.8099999999999996,-2.8983434396266694
64,3.87,-2.8038063819280405
65,3.9299999999999997,-2.6956546907069185
66,3.9899999999999998,-2.6740761641995237
67,4.05,-2.751953704020763
68,4.109999999999999,-2.7202474060694852
69,4.17,-2.308685898652492
70,4.23,-1.0707496148211981
71,4.29,1.1788132319953761
72,4.35,4.469479557507574
73,4.41,8.01031553133996
74,4.47,10.976215684011024
75,4.529999999999999,13.117137257568828
76,4.59,14.33029633285722
77,4.65,15.040065162508327
78,4.71,15.460734908874437
79,4.77,14.637987407731046
80,4.83,11.505566387398657
81,4.89,7.440795948246132
82,4.949999999999999,3.160309008046322
83,5.01,0.0172177431061033
84,5.07,-1.8749125514164267
85,5.13,-2.7026099470391642
86,5.1899999999999995,-2.9666011144451305
87,5.25,-2.870004668331119
88,5.31,-2.6927726955460924
89,5.369999999999999,-2.5788465067457733
90,5.43,-2.6357397298426406
91,5.49,-2.886618452351148
92,5.55,-3.2699908126037407
93,5.609999999999999,-3.6776635935776687
94,5.67,-4.039144221815388
95,5.73,-4.302479387393127
96,5.789999999999999,-4.484643329237847
97,5.85,-4.607937029117543
98,5.91,-4.697999286340585
99,5.97,-4.768551113783939
