,r,gofr
0,0.03,-0.018440049429845947
1,0.09,-0.05532014828953785
2,0.15,-0.09220024714922975
3,0.21,-0.12908034600892163
4,0.27,-0.16596044486861355
5,0.32999999999999996,-0.20284054372830543
6,0.39,-0.23972064258799733
7,0.44999999999999996,-0.2766007414476892
8,0.51,-0.31348084030738116
9,0.5700000000000001,-0.35036093916707306
10,0.6299999999999999,-0.38724103802676485
11,0.69,-0.4241211368864568
12,0.75,-0.4610012357461487
13,0.81,-0.49788133460584066
14,0.8699999999999999,-0.5347614334655325
15,0.9299999999999999,-0.5716415323252244
16,0.99,-0.6085216311849163
17,1.05,-0.6454017300446082
18,1.1099999999999999,-0.6822818289043001
19,1.17,-0.7191619277639919
20,1.23,-0.7560420266236839
21,1.29,-0.7929221254833758
22,1.3499999999999999,-0.8298022243430677
23,1.41,-0.8666823232027596
24,1.47,-0.9035624220624514
25,1.53,-0.9404425209221435
26,1.5899999999999999,-0.9773226197818352
27,1.65,-1.0142027186415272
28,1.71,-1.051082817501219
29,1.77,-1.087962916360911
30,1.8299999999999998,-1.1248430152206028
31,1.89,-1.1617231140802946
32,1.95,-1.1986032129399866
33,2.01,-1.2354833117996784
34,2.0700000000000003,-1.2721080797875743
35,2.13,-1.2893923560963867
36,2.19,-0.9824213048312409
37,2.25,1.0182149115442727
38,2.3099999999999996,5.66898816566832
39,2.37,7.697300403144578
40,2.4299999999999997,4.54438511581798
41,2.49,0.7755511503304484
42,2.55,-0.9464126792565095
43,2.61,-1.4428845839769846
44,2.67,-1.566929895528119
45,2.7299999999999995,-1.6399036648592535
46,2.79,-1.684992287617706
47,2.8499999999999996,-1.736411766661209
48,2.91,-1.781056192039386
49,2.9699999999999998,-1.819514107790889
50,3.0300000000000002,-1.8582584210262558
51,3.09,-1.8834171161666893
52,3.15,-1.885027552606047
53,3.21,-1.8439923569160959
54,3.2699999999999996,-1.699619946446857
55,3.33,-1.2616279209593237
56,3.3899999999999997,-0.4949329152093483
57,3.45,0.12875581488484616
58,3.51,0.5506640022710003
59,3.57,1.1460707296091868
60,3.63,1.8542451984427726
61,3.6899999999999995,2.4509573563708837
62,3.75,2.866008207329512
63,3.8099999999999996,2.93928421982085
64,3.87,2.8578149232865653
65,3.9299999999999997,2.5041461144911232
66,3.9899999999999998,1.905923721074369
67,4.05,1.3106295721263979
68,4.109999999999999,0.7397409184107755
69,4.17,0.30856420192336753
70,4.23,0.054639066577313135
71,4.29,-0.11694920496196236
72,4.35,-0.24047079142309913
73,4.41,-0.3063813845155628
74,4.47,-0.362407655769183
75,4.529999999999999,-0.4137262613598178
76,4.59,-0.5544888108948848
77,4.65,-0.6286881809865335
78,4.71,-0.7558032503222274
79,4.77,-0.8296756078434697
80,4.83,-0.8407988552548714
81,4.89,-0.7929959915026774
82,4.949999999999999,-0.7791734934648608
83,5.01,-0.7819687162039902
84,5.07,-0.697372126661293
85,5.13,-0.5616270738295649
86,5.1899999999999995,-0.3907654969640173
87,5.25,-0.18226623317640617
88,5.31,-0.016739824079908684
89,5.369999999999999,0.15125211545616635
90,5.43,0.3750685600455847
91,5.49,0.5831739050021374
92,5.55,0.6776976043070884
93,5.609999999999999,0.619885505521603
94,5.67,0.4462689486850556
95,5.73,0.22173675798686762
96,5.789999999999999,-0.04172120235364698
97,5.85,-0.4821417954075008
98,5.91,-0.8859281399594368
99,5.97,-1.142362202070675
