,r,gofr
0,0.03,-0.007300465901119419
1,0.09,-0.021901397703358253
2,0.15,-0.03650232950559709
3,0.21,-0.05110326130783593
4,0.27,-0.06570419311007478
5,0.32999999999999996,-0.08030512491231359
6,0.39,-0.09490605671455245
7,0.44999999999999996,-0.10950698851679126
8,0.51,-0.12410792031903012
9,0.5700000000000001,-0.13870885212126896
10,0.6299999999999999,-0.15330978392350778
11,0.69,-0.16791071572574662
12,0.75,-0.18251164752798546
13,0.81,-0.1971125793302243
14,0.8699999999999999,-0.21171351113246312
15,0.9299999999999999,-0.22631444293470193
16,0.99,-0.2409153747369408
17,1.05,-0.2555163065391796
18,1.1099999999999999,-0.2701172383414185
19,1.17,-0.2847181701436573
20,1.23,-0.29931910194589617
21,1.29,-0.313920033748135
22,1.3499999999999999,-0.3285209655503738
23,1.41,-0.34312189735261267
24,1.47,-0.35772282915485154
25,1.53,-0.37232376095709036
26,1.5899999999999999,-0.38692469275932917
27,1.65,-0.401525624561568
28,1.71,-0.4161265563638068
29,1.77,-0.4307274881660457
30,1.8299999999999998,-0.4453284199682845
31,1.89,-0.4599293517705234
32,1.95,-0.4745302835727622
33,2.01,-0.4891312153750009
34,2.0700000000000003,-0.5037321471772399
35,2.13,-0.5182779429978102
36,2.19,-0.5263112493727234
37,2.25,-0.29300234679111853
38,2.3099999999999996,1.748524653673004
39,2.37,4.447612941603389
40,2.4299999999999997,2.538162492695011
41,2.49,0.009828570307716994
42,2.55,-0.5753589778725212
43,2.61,-0.6341505988535974
44,2.67,-0.6496974792579261
45,2.7299999999999995,-0.6643423970018669
46,2.79,-0.678943328804106
47,2.8499999999999996,-0.6935442606063447
48,2.91,-0.7081451924085836
49,2.9699999999999998,-0.7227461242108224
50,3.0300000000000002,-0.7373470560130614
51,3.09,-0.7519479878153001
52,3.15,-0.7665489196175389
53,3.21,-0.7811498514197778
54,3.2699999999999996,-0.7957507832220165
55,3.33,-0.8103517150242555
56,3.3899999999999997,-0.8249353246523475
57,3.45,-0.8394684739574123
58,3.51,-0.8519126914472808
59,3.57,-0.8481615077963239
60,3.63,-0.7419373859735295
61,3.6899999999999995,-0.2492417774034943
62,3.75,1.0740457533469738
63,3.8099999999999996,3.0945915635738666
64,3.87,4.4285439728375655
65,3.9299999999999997,3.7624376704386884
66,3.9899999999999998,1.7378128148865326
67,4.05,0.04360555396937792
68,4.109999999999999,-0.751414067526747
69,4.17,-0.9663643079366674
70,4.23,-0.9768900710717827
71,4.29,-0.8330848928688099
72,4.35,-0.3736305394261187
73,4.41,0.5865561481521013
74,4.47,1.9142016519950904
75,4.529999999999999,2.8608642602342247
76,4.59,2.659779040458474
77,4.65,1.459988828340181
78,4.71,0.14445914897455672
79,4.77,-0.6930588750401916
80,4.83,-1.0484823786649868
81,4.89,-1.1653339117443158
82,4.949999999999999,-1.2009941784803926
83,5.01,-1.2184745360087763
84,5.07,-1.2317054788648478
85,5.13,-1.2381346173719079
86,5.1899999999999995,-1.2186384756383006
87,5.25,-1.1221611562983422
88,5.31,-0.8680271062105409
89,5.369999999999999,-0.4073577678317853
90,5.43,0.09465361436404074
91,5.49,-0.5280449949200383
92,5.55,-1.3503639960749174
93,5.609999999999999,-1.3624864869620157
94,5.67,-1.3578730294487675
95,5.73,-1.266007641632001
96,5.789999999999999,-0.896333534144514
97,5.85,-0.04713938821541774
98,5.91,1.142369881873011
99,5.97,1.8409792913030358
