cf,dft,dftba,dftbb
0.75013,-0.42763,-0.70123,-0.58084
0.80025,-1.76141,-1.83802,-1.91463
0.84937,-2.62464,-2.63558,-2.70125
0.89950,-3.11574,-3.13763,-3.14858
0.94962,-3.35514,-3.34419,-3.35514
0.99975,-3.41943,-3.40849,-3.41943
1.04887,-3.38526,-3.37431,-3.39620
1.09900,-3.28539,-3.26350,-3.29633
1.14912,-3.11986,-3.10891,-3.13080
1.19925,-2.94338,-2.94338,-2.96527
1.24937,-2.77785,-2.75597,-2.78880
1.29950,-2.59044,-2.56855,-2.62327
1.34962,-2.41396,-2.40302,-2.45774
1.39975,-2.23749,-2.24843,-2.25938
1.44987,-2.06101,-2.08290,-2.03913
