x,delta
0.16475,0.47253
0.32950,0.52967
0.49059,0.84835
0.65533,1.09011
0.81276,1.16703
0.97751,1.15604
1.14226,1.17363
1.30335,1.04615
1.46444,0.97143
1.62918,0.81978
1.79027,0.70769
1.95502,0.65275
2.11611,0.63516
2.28086,0.51648
2.44195,0.54286
2.60669,0.56484
2.76778,0.49231
2.92887,0.49451
3.09362,0.49011
3.25471,0.57802
3.25471,0.54505
3.41579,0.57143
