# x	cn_mean 	cn_std
0.21	8.556662	0.799707
0.62	16.149361	0.384188
1.25	23.507142	1.006910
1.71	26.643675	0.285034
2.17	28.585585	0.101068
2.71	29.504136	0.452824
3.25	32.258793	0.063321
3.75	33.354042	0.043877
4.20	34.629719	0.054151
