# r, g0(r), g1(r), g2(r), g3(r), g4(r), gelse(r)
   0.401250E+01    0.850728E-05    0.330082E-02    0.775183E-01    0.305352E+00    0.251211E+00    0.774843E-01
   0.403750E+01    0.000000E+00    0.431036E-02    0.870137E-01    0.319462E+00    0.258882E+00    0.753934E-01
   0.406250E+01    0.829916E-05    0.429896E-02    0.997144E-01    0.337801E+00    0.264112E+00    0.762610E-01
   0.408750E+01    0.819795E-05    0.485319E-02    0.112664E+00    0.353373E+00    0.271139E+00    0.711336E-01
   0.411250E+01    0.161972E-04    0.533697E-02    0.127820E+00    0.373871E+00    0.277004E+00    0.717615E-01
   0.413750E+01    0.240030E-04    0.625679E-02    0.141146E+00    0.393010E+00    0.278651E+00    0.695848E-01
   0.416250E+01    0.000000E+00    0.755736E-02    0.160689E+00    0.410959E+00    0.285907E+00    0.695420E-01
   0.418750E+01    0.156222E-04    0.783452E-02    0.179983E+00    0.428047E+00    0.290471E+00    0.658396E-01
   0.421250E+01    0.154373E-04    0.100651E-01    0.202530E+00    0.445150E+00    0.293208E+00    0.652457E-01
   0.423750E+01    0.762784E-05    0.119528E-01    0.224335E+00    0.461858E+00    0.299171E+00    0.622508E-01
   0.426250E+01    0.226159E-04    0.137278E-01    0.249046E+00    0.479487E+00    0.297708E+00    0.609196E-01
   0.428750E+01    0.745097E-05    0.163921E-01    0.271357E+00    0.491250E+00    0.301071E+00    0.583783E-01
   0.431250E+01    0.000000E+00    0.181543E-01    0.298614E+00    0.511082E+00    0.304131E+00    0.575856E-01
   0.433750E+01    0.218405E-04    0.211999E-01    0.324106E+00    0.522149E+00    0.301982E+00    0.543902E-01
   0.436250E+01    0.359849E-04    0.246065E-01    0.349097E+00    0.542846E+00    0.301366E+00    0.521133E-01
   0.438750E+01    0.355760E-04    0.282758E-01    0.374387E+00    0.552239E+00    0.300574E+00    0.477785E-01
   0.441250E+01    0.422088E-04    0.317269E-01    0.399682E+00    0.562291E+00    0.297220E+00    0.477030E-01
   0.443750E+01    0.556460E-04    0.356552E-01    0.424065E+00    0.571666E+00    0.296753E+00    0.441343E-01
   0.446250E+01    0.550243E-04    0.409243E-01    0.447815E+00    0.580726E+00    0.289256E+00    0.415984E-01
   0.448750E+01    0.680162E-04    0.459381E-01    0.465686E+00    0.590734E+00    0.282417E+00    0.382591E-01
   0.451250E+01    0.941705E-04    0.514642E-01    0.486310E+00    0.592541E+00    0.279713E+00    0.369955E-01
   0.453750E+01    0.266102E-03    0.551962E-01    0.503006E+00    0.596434E+00    0.269022E+00    0.337417E-01
   0.456250E+01    0.348732E-03    0.615676E-01    0.517991E+00    0.593699E+00    0.265312E+00    0.325307E-01
   0.458750E+01    0.299383E-03    0.693006E-01    0.526940E+00    0.600399E+00    0.255862E+00    0.299122E-01
   0.461250E+01    0.379840E-03    0.762319E-01    0.536128E+00    0.600816E+00    0.247462E+00    0.266725E-01
   0.463750E+01    0.541343E-03    0.833413E-01    0.541916E+00    0.593598E+00    0.239356E+00    0.242012E-01
   0.466250E+01    0.567056E-03    0.923041E-01    0.549597E+00    0.589927E+00    0.230590E+00    0.222601E-01
   0.468750E+01    0.673228E-03    0.101882E+00    0.553980E+00    0.585933E+00    0.220813E+00    0.204462E-01
   0.471250E+01    0.696942E-03    0.111535E+00    0.555223E+00    0.578000E+00    0.207035E+00    0.183425E-01
   0.473750E+01    0.872687E-03    0.121969E+00    0.552887E+00    0.571928E+00    0.197233E+00    0.164407E-01
   0.476250E+01    0.105075E-02    0.130523E+00    0.553282E+00    0.561833E+00    0.186122E+00    0.145898E-01
   0.478750E+01    0.138043E-02    0.140834E+00    0.557337E+00    0.552825E+00    0.175674E+00    0.130813E-01
   0.481250E+01    0.182742E-02    0.151126E+00    0.554589E+00    0.546292E+00    0.165148E+00    0.118161E-01
   0.483750E+01    0.261630E-02    0.161894E+00    0.556048E+00    0.532015E+00    0.155157E+00    0.102545E-01
   0.486250E+01    0.403191E-02    0.172109E+00    0.555529E+00    0.519572E+00    0.144871E+00    0.925139E-02
   0.488750E+01    0.538410E-02    0.187343E+00    0.551197E+00    0.508061E+00    0.134557E+00    0.780953E-02
   0.491250E+01    0.787781E-02    0.198790E+00    0.552236E+00    0.493652E+00    0.124166E+00    0.704917E-02
   0.493750E+01    0.116243E-01    0.215086E+00    0.551838E+00    0.476507E+00    0.113485E+00    0.648355E-02
   0.496250E+01    0.190716E-01    0.232441E+00    0.551086E+00    0.463670E+00    0.105114E+00    0.536720E-02
   0.498750E+01    0.303835E-01    0.251971E+00    0.554490E+00    0.446485E+00    0.971742E-01    0.469683E-02
   0.501250E+01    0.452961E-01    0.264363E+00    0.555950E+00    0.429613E+00    0.875286E-01    0.373970E-02
   0.503750E+01    0.637820E-01    0.278737E+00    0.556248E+00    0.412351E+00    0.794563E-01    0.336803E-02
   0.506250E+01    0.823825E-01    0.282500E+00    0.552938E+00    0.395414E+00    0.726131E-01    0.294471E-02
   0.508750E+01    0.976939E-01    0.286816E+00    0.547162E+00    0.380531E+00    0.646301E-01    0.222260E-02
   0.511250E+01    0.110842E+00    0.285815E+00    0.551215E+00    0.359793E+00    0.592204E-01    0.197035E-02
   0.513750E+01    0.117976E+00    0.284317E+00    0.547301E+00    0.345101E+00    0.525739E-01    0.152050E-02
   0.516250E+01    0.121004E+00    0.280059E+00    0.551289E+00    0.326893E+00    0.467314E-01    0.153664E-02
   0.518750E+01    0.120716E+00    0.277183E+00    0.553007E+00    0.310191E+00    0.418335E-01    0.100270E-02
