# x	cn_mean 	cn_std
0.21	1.568634	0.184823
0.62	4.714109	0.271620
1.25	8.594404	0.606194
1.71	9.949262	0.146126
2.17	10.838361	0.048899
2.71	11.382287	0.171418
3.25	12.359199	0.031673
3.75	12.630373	0.021472
4.20	13.038621	0.028675
