cf,dft,dftba,dftbb
0.70000,0.87333,1.84733,2.10999
0.75013,-0.65745,-0.67934,-0.52612
0.80025,-1.70669,-1.75047,-1.71764
0.84937,-2.35104,-2.34010,-2.31821
0.89950,-2.72176,-2.73271,-2.68893
0.94962,-2.90644,-2.89549,-2.87361
0.99975,-2.94884,-2.93790,-2.91601
1.04887,-2.93655,-2.91467,-2.91467
1.09900,-2.85858,-2.82574,-2.84763
1.14912,-2.73682,-2.71493,-2.72588
1.19925,-2.59318,-2.57129,-2.57129
1.24937,-2.43859,-2.43859,-2.43859
1.29950,-2.29495,-2.30589,-2.29495
1.34962,-2.16225,-2.16225,-2.16225
1.39975,-2.00767,-2.02955,-2.01861
1.44987,-1.85308,-1.85308,-1.84214
