0.37551, 0.79502
0.38578, 0.78727
0.39688, 0.77908
0.40687, 0.77146
0.41686, 0.76396
0.42685, 0.75659
0.43796, 0.74929
0.44823, 0.74165
0.46058, 0.73389
0.47306, 0.72610
0.48658, 0.71812
0.49952, 0.71031
0.51428, 0.70224
0.52927, 0.69423
0.54521, 0.68641
0.56049, 0.67867
0.57597, 0.67159
0.59444, 0.66355
0.61519, 0.65551
0.63792, 0.64657
0.65790, 0.63890
0.67788, 0.63153
0.69912, 0.62393
0.72160, 0.61625
0.74408, 0.60884
0.76781, 0.60137
0.79278, 0.59405
0.81901, 0.58677
0.84649, 0.57941
0.87396, 0.57252
0.90144, 0.56602
0.92891, 0.55967
0.95639, 0.55381
0.98387, 0.54827
1.01134, 0.54293
1.03882, 0.53787
1.06629, 0.53309
1.09377, 0.52846
1.12125, 0.52395
1.14872, 0.51962
1.17620, 0.51533
1.20367, 0.51119
1.23115, 0.50711
1.25863, 0.50306
1.28610, 0.49904
1.31358, 0.49509
1.34105, 0.49116
1.36853, 0.48720
1.39601, 0.48300
1.42348, 0.47917
1.45096, 0.47518
1.47843, 0.47101
1.50591, 0.46693
1.53338, 0.46279
1.56086, 0.45868
1.58834, 0.45442
1.61581, 0.45012
1.64329, 0.44580
1.67076, 0.44144
1.69824, 0.43700
1.72572, 0.43261
1.75319, 0.42807
1.78067, 0.42359
1.80814, 0.41909
1.83562, 0.41461
1.86310, 0.41022
1.89057, 0.40581
1.91805, 0.40145
1.94552, 0.39710
1.97300, 0.39296
2.00048, 0.38903
2.02795, 0.38504
2.05543, 0.38133
2.08290, 0.37762
2.11038, 0.37403
2.13785, 0.37062
2.16533, 0.36728
2.19281, 0.36397
2.22028, 0.36084
2.24776, 0.35777
2.27523, 0.35470
2.30271, 0.35175
2.33019, 0.34884
2.35766, 0.34596
2.38514, 0.34319
2.41261, 0.34043
2.44009, 0.33770
2.46757, 0.33503
2.49504, 0.33236
2.52252, 0.32972
2.54999, 0.32711
2.57747, 0.32444
2.60495, 0.32189
2.63242, 0.31922
2.65990, 0.31658
2.68737, 0.31382
2.71485, 0.31130
2.74232, 0.30863
2.76980, 0.30599
2.79728, 0.30345
2.82475, 0.30081
2.85223, 0.29817
2.87970, 0.29547
2.90718, 0.29277
2.93466, 0.29003
2.96213, 0.28727
2.98961, 0.28445
3.01708, 0.28159
3.04456, 0.27868
3.07204, 0.27576
3.09951, 0.27270
3.12699, 0.26953
3.15446, 0.26625
3.18194, 0.26300
3.20942, 0.25947
3.23689, 0.25610
3.26437, 0.25239
3.29184, 0.24849
3.31932, 0.24447
3.34679, 0.24024
3.37427, 0.23564
3.40175, 0.23083
3.42922, 0.22561
3.45670, 0.22006
3.48417, 0.21393
3.51165, 0.20709
3.53788, 0.20004
3.56286, 0.19242
3.58658, 0.18467
3.60782, 0.17693
3.62655, 0.16933
3.64372, 0.16176
3.65777, 0.15420
3.67276, 0.14662
3.68672, 0.13921
3.70126, 0.13143
3.71286, 0.12388
3.72507, 0.11651
3.73396, 0.10967
3.74395, 0.10260
3.75394, 0.09472
3.76286, 0.08627
3.76992, 0.07775
3.77611, 0.06966
3.78391, 0.06056
3.78984, 0.05066
3.79328, 0.04228
3.79765, 0.03411
3.80115, 0.02521
3.80500, 0.01432
3.80689, 0.00765
