,ppm,exp,pred
0,49.0,1.11294,1.0999755529646627
1,48.0,1.11311,1.1029698952959124
2,47.0,1.12878,1.0902669116430963
3,46.0,1.12814,1.0937614959531388
4,45.0,1.12829,1.108393946201965
5,44.0,1.13645,1.1121309367666277
6,43.0,1.1437,1.1225916813191388
7,42.0,1.14365,1.127779322498789
8,41.0,1.1572,1.133617588888358
9,40.0,1.15899,1.140132762227299
10,39.0,1.15895,1.14742599593387
11,38.0,1.17438,1.1556160155899808
12,37.0,1.1747,1.1648422056322458
13,36.0,1.18978,1.1752680315010393
14,35.0,1.20218,1.1870846421344594
15,34.0,1.20508,1.200514310656554
16,33.0,1.22055,1.2158130503149382
17,32.0,1.23597,1.2332712148973133
18,31.0,1.25137,1.2532100647166518
19,30.0,1.26492,1.2759710601379606
20,29.0,1.29582,1.3018930173624241
21,28.0,1.31335,1.343480445230771
22,27.0,1.34636,1.3760001299285929
23,26.0,1.38078,1.4129190262855575
24,25.0,1.42488,1.4642475650338933
25,24.0,1.46542,1.5063368540827469
26,23.0,1.51974,1.5492820460274
27,22.0,1.56658,1.5908716515701684
28,21.0,1.60917,1.6396823566560637
29,20.0,1.64347,1.6679823277711638
30,19.0,1.66644,1.7000938633636977
31,18.0,1.68063,1.706726786675745
32,17.0,1.68221,1.7119438633636976
33,16.0,1.69785,1.7044473277711638
34,15.0,1.72801,1.6792073566560637
35,14.0,1.75708,1.6609666515701684
36,13.0,1.81053,1.6432570460274
37,12.0,1.87344,1.612341854082747
38,11.0,1.96769,1.5951225650338934
39,10.0,2.08674,1.5889740262855576
40,9.0,2.23219,1.5973851299285928
41,8.0,2.40266,1.611545445230771
42,7.0,2.57029,1.653088017362424
43,6.0,2.63243,1.6901810601379605
44,5.0,2.60791,1.7764850647166517
45,4.0,2.56339,1.8916362148973132
46,3.0,2.56741,2.0412480503149384
47,2.0,2.60863,2.2258843106565536
48,1.0,2.68754,2.4321596421344593
49,0.0,2.74004,2.6253480315010393
50,-1.0,2.62314,2.671472205632246
51,-2.0,2.38274,2.559616015589981
52,-3.0,2.15436,2.3490609959338697
53,-4.0,1.97277,2.124147762227299
54,-5.0,1.83079,1.9346025888883578
55,-6.0,1.7145,1.771579322498789
56,-7.0,1.61858,1.6483716813191387
57,-8.0,1.54911,1.5466509367666277
58,-9.0,1.49612,1.465768946201965
59,-10.0,1.42598,1.389516495953139
60,-11.0,1.38443,1.3375419116430964
61,-12.0,1.35118,1.3024098952959124
62,-13.0,1.31738,1.2631305529646626
63,-14.0,1.29833,1.2377785814491038
64,-15.0,1.26653,1.2119425873833294
65,-16.0,1.25197,1.1864845162621027
66,-17.0,1.23627,1.1849341727250864
67,-18.0,1.22096,1.1587488166190842
68,-19.0,1.20489,1.1447828220479626
69,-20.0,1.1897,1.1322223888571126
70,-21.0,1.17323,1.1304152978481181
71,-22.0,1.17423,1.116025702541022
72,-23.0,1.15914,1.1156239515511528
73,-24.0,1.15884,1.1029364366725187
74,-25.0,1.14367,1.101820462600514
75,-26.0,1.14361,1.1007341349166084
76,-27.0,1.13634,1.1003762635244814
77,-28.0,1.12831,1.0870762791933457
78,-29.0,1.12835,1.086239161248467
79,-30.0,1.12132,1.0737103747661654
80,-31.0,1.11289,1.0727958158931117
81,-32.0,1.11247,1.0720467641274238
82,-33.0,1.11175,1.0713398405800032
83,-34.0,1.09938,1.0706719713852795
84,-35.0,1.09085,1.070040355556403
85,-36.0,1.09711,1.0694424366852768
86,-37.0,1.09714,1.0688758779762166
87,-38.0,1.09783,1.0683385401763772
88,-39.0,1.09483,1.0678284620287457
89,-40.0,1.10262,1.0673438429264759
90,-41.0,1.08387,1.066883027492174
91,-42.0,1.09074,1.066444491843833
92,-43.0,1.08122,1.0660268313414982
93,-44.0,1.09439,1.0656287496363652
94,-45.0,1.08504,1.0652490488676154
95,-46.0,1.08221,1.0648866208725052
96,-47.0,1.08224,1.0645404392925588
97,-48.0,1.08224,1.0642095524736377
98,-49.0,1.08224,1.0638930770704982
