# x	cn_mean 	cn_std
0.21	17.187570	1.586465
0.62	13.422713	0.350486
1.25	10.171846	0.896708
1.71	7.920174	0.425759
2.17	5.995985	0.119686
2.71	4.515465	0.734310
3.25	3.102270	0.056860
3.75	2.326491	0.019676
4.20	1.991163	0.010220
