# x	cn_mean 	cn_std
0.21	4.217397	0.724287
0.62	14.703568	0.582563
1.25	25.895099	1.318834
1.71	30.196366	0.432295
2.17	33.407760	0.164146
2.71	34.620340	0.422761
3.25	38.356612	0.059748
3.75	39.441052	0.034627
4.20	41.053012	0.050464
