r,rdf
0.03,0.0
0.09,0.0
0.15,0.0
0.21,0.0
0.27,0.0
0.32999999999999996,0.0
0.39,0.0
0.44999999999999996,0.0
0.51,0.0
0.5700000000000001,0.0
0.6299999999999999,0.0
0.69,0.0
0.75,0.0
0.81,0.0
0.8699999999999999,0.0
0.9299999999999999,0.0
0.99,0.0
1.05,0.0
1.1099999999999999,0.0
1.17,0.0
1.23,0.0
1.29,0.0
1.3499999999999999,0.0
1.41,0.0
1.47,0.0
1.53,0.0
1.5899999999999999,0.0
1.65,0.0
1.71,0.0
1.77,0.00014241827167762463
1.8299999999999998,0.0002581394958764458
1.89,0.0009992720385630554
1.95,0.004143609392807392
2.01,0.021128701785699363
2.0700000000000003,0.09062707303368465
2.13,0.32536005042093447
2.19,0.8872644139808152
2.25,1.8205614408111388
2.3099999999999996,2.8525451612267503
2.37,3.440335654638404
2.4299999999999997,3.3360512283736745
2.49,2.7052845100120493
2.55,1.8783598824772554
2.61,1.183893052473855
2.67,0.699976550565006
2.7299999999999995,0.39307436820584885
2.79,0.221177097630543
2.8499999999999996,0.12825917818526503
2.91,0.07946095988156679
2.9699999999999998,0.055637741303480585
3.0300000000000002,0.04891490238744528
3.09,0.0586849057817155
3.15,0.08911299981593858
3.21,0.1498220854669987
3.2699999999999996,0.25833866177519077
3.33,0.4185622184969972
3.3899999999999997,0.6222644761326482
3.45,0.8211536087060517
3.51,1.0093338135421719
3.57,1.2103748786449713
3.63,1.4023155631181643
3.6899999999999995,1.5774100718217712
3.75,1.7166362937013886
3.8099999999999996,1.8060069007663309
3.87,1.843338401192887
3.9299999999999997,1.8334619809070527
3.9899999999999998,1.7782751793446414
4.05,1.6869761840452746
4.109999999999999,1.5762475468532664
4.17,1.4586792740309429
4.23,1.3419376435309804
4.29,1.2344504106856349
4.35,1.1362269426638985
4.41,1.0552409986038336
4.47,0.9877884180688039
4.529999999999999,0.9341268837227287
4.59,0.8957396132494829
4.65,0.8603060118329785
4.71,0.8362631686730992
4.77,0.8174119992091555
4.83,0.8053256606111187
4.89,0.7959969912186992
4.949999999999999,0.7920179254245627
5.01,0.7909410818165884
5.07,0.7955583494697971
5.13,0.8063508210388629
5.1899999999999995,0.8206763576771067
5.25,0.8437687655404624
5.31,0.8733030584767616
5.369999999999999,0.9106052309492229
5.43,0.952454293699809
5.49,1.0010419683157972
5.55,1.050152128501664
5.609999999999999,1.0936798981010243
5.67,1.1145204684830978
5.73,1.1079549489069698
5.789999999999999,1.0806531650486086
5.85,1.034587990195847
5.91,0.9746023462342166
5.97,0.9071181944701104
