r,rdf
0.03,0.0
0.09,0.0
0.15,0.0
0.21,0.0
0.27,0.0
0.32999999999999996,0.0
0.39,0.0
0.44999999999999996,0.0
0.51,0.0
0.5700000000000001,0.0
0.6299999999999999,0.0
0.69,0.0
0.75,0.0
0.81,0.0
0.8699999999999999,0.0
0.9299999999999999,0.0
0.99,0.0
1.05,0.0
1.1099999999999999,0.0
1.17,0.0
1.23,0.0
1.29,0.0
1.3499999999999999,0.0
1.41,0.0
1.47,0.0
1.53,0.0
1.5899999999999999,0.0
1.65,0.0
1.71,0.0
1.77,0.0
1.8299999999999998,0.0
1.89,0.0
1.95,6.305803503698803e-05
2.01,0.0010155417155714333
2.0700000000000003,0.011415711637796686
2.13,0.09340006088269964
2.19,0.47795434790792846
2.25,1.5198222162854162
2.3099999999999996,3.16892993278059
2.37,4.290229158522116
2.4299999999999997,4.132167049041288
2.49,2.9698157567599326
2.55,1.6802292547894817
2.61,0.8117492840295844
2.67,0.36395170666771914
2.7299999999999995,0.16120816156259923
2.79,0.07810735034847734
2.8499999999999996,0.04336377719154132
2.91,0.027435730663658103
2.9699999999999998,0.020596547649853796
3.0300000000000002,0.01765305107502237
3.09,0.021745804606147702
3.15,0.03695560199489923
3.21,0.0755439094645549
3.2699999999999996,0.15906190844321663
3.33,0.3140941469313858
3.3899999999999997,0.5428121947158775
3.45,0.7792825843198591
3.51,1.0046497368547946
3.57,1.2553313192310518
3.63,1.5061939892642964
3.6899999999999995,1.7458040072891143
3.75,1.9354900259949368
3.8099999999999996,2.0484224129406057
3.87,2.0870392574425547
3.9299999999999997,2.033233264977467
3.9899999999999998,1.918818925919509
4.05,1.7589493135365852
4.109999999999999,1.5780873999901386
4.17,1.399300573503526
4.23,1.2428964894110195
4.29,1.1138793087669558
4.35,1.0199316520805892
4.41,0.9522378731439078
4.47,0.9052403432995485
4.529999999999999,0.8706158806774654
4.59,0.8452493646130472
4.65,0.8208974207149156
4.71,0.7990690338471623
4.77,0.7786472084848399
4.83,0.7652892734197233
4.89,0.7554828158310057
4.949999999999999,0.7520014875640056
5.01,0.7565461879488131
5.07,0.7707683827767536
5.13,0.7922002484025492
5.1899999999999995,0.8233827310341555
5.25,0.8640798841184307
5.31,0.9136831058510079
5.369999999999999,0.9683537785990914
5.43,1.0293425976278296
5.49,1.0867492679141937
5.55,1.1377882828469028
5.609999999999999,1.1738977218234996
5.67,1.1682026713520361
5.73,1.1248509515147815
5.789999999999999,1.0741139077833581
5.85,1.0120800332434041
5.91,0.9378092522919479
5.97,0.8476985979118804
